county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"Wrangell City and Borough, Alaska",2127,1352,0,380,25,2,30,338
"Yakutat City and Borough, Alaska",662,249,4,255,32,1,3,118
"Yukon-Koyukuk Census Area, Alaska",5343,1130,7,3832,8,3,28,335
"Apache County, Arizona",66021,14873,185,47016,312,20,1225,2390
"Cochise County, Arizona",125447,81733,4783,1510,2712,488,12678,21543
"Coconino County, Arizona",145101,83360,1961,36225,2674,262,7656,12963
"Gila County, Arizona",53272,35904,282,8928,445,48,3073,4592
"Graham County, Arizona",38533,25043,537,5390,192,20,3225,4126
"Greenlee County, Arizona",9563,6584,87,355,75,5,893,1564
"La Paz County, Arizona",16557,9772,114,2833,115,49,1613,2061
"Maricopa County, Arizona",4420568,2645512,260469,100645,203696,10966,598605,600675
"Mohave County, Arizona",213267,169732,2221,5185,2734,409,12676,20310
"Navajo County, Arizona",106717,48430,760,47442,567,86,3149,6283
"Pima County, Arizona",1043433,633382,39954,34593,31367,2229,127663,174245
"Pinal County, Arizona",425264,269258,21968,21128,6718,1219,49997,54976
"Santa Cruz County, Arizona",47669,15929,187,457,304,19,13762,17011
"Yavapai County, Arizona",236209,192507,1543,4283,2932,294,12411,22239
"Yuma County, Arizona",203881,90318,4099,3522,2587,283,51244,51828
"Arkansas County, Arkansas",17149,11698,4156,44,94,9,405,743
"Ashley County, Arkansas",19062,12958,4669,56,41,6,625,707
"Baxter County, Arkansas",41627,38489,90,255,234,9,327,2223
"Benton County, Arkansas",284333,201188,4732,5093,13721,2629,25559,31411
"Boone County, Arkansas",37373,34128,108,276,246,28,259,2328
"Bradley County, Arkansas",10545,5890,2937,92,30,0,1156,440
"Calhoun County, Arkansas",4739,3539,913,10,6,9,54,208
"Carroll County, Arkansas",28260,21952,95,369,567,444,2475,2358
"Chicot County, Arkansas",10208,3953,5417,36,38,9,414,341
"Clark County, Arkansas",21446,14316,5127,96,153,18,623,1113
"Clay County, Arkansas",14552,13731,42,44,15,8,97,615
"Cleburne County, Arkansas",24711,22953,69,133,102,11,232,1211
"Cleveland County, Arkansas",7550,6466,686,35,7,1,87,268
"Columbia County, Arkansas",22801,13371,7866,74,168,0,481,841
"Conway County, Arkansas",20715,16367,2209,167,90,8,433,1441
"Craighead County, Arkansas",111231,80639,18473,356,1692,61,3446,6564
"Crawford County, Arkansas",60133,48610,897,1486,947,35,2342,5816
"Crittenden County, Arkansas",48163,19276,25905,136,327,17,683,1819
"Cross County, Arkansas",16833,12213,3658,48,102,5,146,661
"Dallas County, Arkansas",6482,3487,2592,17,7,0,103,276
"Desha County, Arkansas",11395,4845,5398,47,61,4,527,513
"Drew County, Arkansas",17350,11291,4846,90,108,13,366,636
"Faulkner County, Arkansas",123498,94088,14384,719,1475,73,3337,9422
"Franklin County, Arkansas",17097,15367,79,214,163,10,183,1081
"Fulton County, Arkansas",12075,11249,27,66,35,0,63,635
"Garland County, Arkansas",100180,78837,8128,802,972,71,3371,7999
"Grant County, Arkansas",17958,16304,458,81,77,1,178,859
"Greene County, Arkansas",45736,41038,933,163,181,292,699,2430
"Hempstead County, Arkansas",20065,11006,5683,140,96,5,1783,1352
"Hot Spring County, Arkansas",33040,26525,3472,189,114,11,659,2070
"Howard County, Arkansas",12785,8164,2642,114,63,6,1036,760
"Independence County, Arkansas",37938,32108,849,243,345,33,1934,2426
"Izard County, Arkansas",13577,12306,256,87,27,11,123,767
"Jackson County, Arkansas",16755,12890,2786,47,63,4,267,698
"Jefferson County, Arkansas",67260,25478,37835,240,673,94,869,2071
"Johnson County, Arkansas",25749,20088,482,274,926,36,1952,1991
"Lafayette County, Arkansas",6308,3906,2057,36,32,5,48,224
"Lawrence County, Arkansas",16216,15044,143,52,39,12,175,751
"Lee County, Arkansas",8600,3465,4663,39,13,2,121,297
"Lincoln County, Arkansas",12941,8324,3652,41,23,9,384,508
"Little River County, Arkansas",12026,8714,2178,170,23,9,171,761
"Logan County, Arkansas",21131,18826,232,241,328,8,225,1271
"Lonoke County, Arkansas",74015,61624,4386,368,733,50,1485,5369
"Madison County, Arkansas",16521,14275,41,235,102,246,473,1149
"Marion County, Arkansas",16826,15569,20,138,56,5,77,961
"Miller County, Arkansas",42600,28036,10988,281,205,4,745,2341
"Mississippi County, Arkansas",40685,23208,14323,99,245,8,1025,1777
"Monroe County, Arkansas",6799,3568,2760,35,28,7,144,257
"Montgomery County, Arkansas",8484,7577,18,103,50,5,226,505
"Nevada County, Arkansas",8310,5218,2444,45,45,0,175,383
"Newton County, Arkansas",7225,6689,7,71,24,2,31,401
"Ouachita County, Arkansas",22650,12194,8899,71,126,3,225,1132
"Perry County, Arkansas",10019,9165,107,54,12,1,113,567
"Phillips County, Arkansas",16568,5616,10343,44,65,4,87,409
"Pike County, Arkansas",10171,8681,241,94,16,2,509,628
"Poinsett County, Arkansas",22965,19391,1783,102,61,1,461,1166
"Polk County, Arkansas",19221,16428,43,366,100,9,617,1658
"Pope County, Arkansas",63381,51409,2100,609,679,23,3399,5162
"Prairie County, Arkansas",8282,6964,925,23,21,3,44,302
"Pulaski County, Arkansas",399125,199197,143548,2226,10035,225,18600,25294
"Randolph County, Arkansas",18571,16684,140,87,75,596,139,850
"St. Francis County, Arkansas",23090,9551,12561,65,127,8,189,589
"Saline County, Arkansas",123416,98388,10414,833,1467,71,4268,7975
"Scott County, Arkansas",9836,8210,35,211,278,5,358,739
"Searcy County, Arkansas",7828,7123,5,73,20,5,46,556
"Sebastian County, Arkansas",127799,86828,8061,2890,5789,105,10404,13722
"Sevier County, Arkansas",15839,9594,578,478,65,248,3088,1788
"Sharp County, Arkansas",17271,15876,118,126,60,20,136,935
"Stone County, Arkansas",12359,11488,21,103,30,2,88,627
"Union County, Arkansas",39054,23216,12729,150,280,16,1045,1618
"Van Buren County, Arkansas",15796,14485,77,133,56,0,200,845
"Washington County, Arkansas",245871,168351,8652,3573,5718,8799,24958,25820
"White County, Arkansas",76822,65237,3728,368,623,31,1737,5098
"Woodruff County, Arkansas",6269,4255,1613,8,22,0,53,318
"Yell County, Arkansas",20263,15330,251,197,202,13,2542,1728
"Alameda County, California",1682353,523836,164879,19659,545261,14123,223779,190816
"Alpine County, California",1204,814,10,236,12,0,13,119
"Amador County, California",40474,31104,1236,757,582,82,2835,3878
"Butte County, California",211632,149557,3644,4492,10533,573,18148,24685
"Calaveras County, California",45292,36315,364,747,743,100,1995,5028
"Colusa County, California",21839,9364,198,513,276,80,7149,4259
"Contra Costa County, California",1165927,501697,101485,12043,217823,6250,173154,153475
"Del Norte County, California",27743,17193,855,2434,840,46,2936,3439
"El Dorado County, California",191185,146624,1537,1929,9200,313,9634,21948
"Fresno County, California",1008654,374678,48707,22043,113328,1665,284830,163403
"Glenn County, California",28917,15753,177,1092,647,49,7253,3946
"Humboldt County, California",136463,98095,1879,8481,3615,455,7782,16156
"Imperial County, California",179702,47537,4362,4266,3049,165,70528,49795
"Inyo County, California",19016,11752,97,2473,282,17,2267,2128
"Kern County, California",909235,371734,50130,18163,46777,1508,274153,146770
"Kings County, California",152486,61226,9023,3671,5923,412,48001,24230
"Lake County, California",68163,46858,1199,2356,1004,106,7699,8941
"Lassen County, California",32730,21066,2277,1088,494,285,4930,2590
"Los Angeles County, California",10014009,3259427,794364,163464,1499984,24522,2784180,1488068
"Madera County, California",156255,65248,4596,7674,3907,173,49303,25354
"Marin County, California",262321,179377,6339,3996,16431,493,26000,29685
"Mariposa County, California",17131,13385,108,497,298,15,796,2032
"Mendocino County, California",91601,59510,642,4679,1788,138,12777,12067
"Merced County, California",281202,104534,9158,7518,20715,807,89115,49355
"Modoc County, California",8700,6772,67,446,61,13,602,739
"Mono County, California",13195,9349,74,295,163,31,1699,1584
"Monterey County, California",439035,158879,9943,12781,26680,2132,150161,78459
"Napa County, California",138019,76158,2443,1949,10753,348,25631,20737
"Nevada County, California",102241,85604,460,1012,1427,147,3494,10097
"Orange County, California",3186989,1383257,53842,38322,706813,9035,548539,447181
"Placer County, California",404739,288586,6890,3547,35500,1117,20224,48875
"Plumas County, California",19790,16608,103,453,152,44,600,1830
"Riverside County, California",2418185,995627,156477,43808,171243,8116,637243,405671
"Sacramento County, California",1585055,715722,152795,18637,281733,18914,185585,211669
"San Benito County, California",64209,27230,634,1647,2423,176,20629,11470
"San Bernardino County, California",2181654,782691,184558,41663,182287,7461,621140,361854
"San Diego County, California",3298634,1633129,155813,40968,410752,15286,520994,521692
"San Francisco County, California",873965,361382,46725,6475,296505,3476,73169,86233
"San Joaquin County, California",779233,267339,60351,12107,139323,5567,181741,112805
"San Luis Obispo County, California",282424,198338,4610,3159,10402,413,27444,38058
"San Mateo County, California",764442,300188,15707,6812,230242,9302,107924,94267
"Santa Barbara County, California",448229,224748,7374,9633,26549,703,99502,79720
"Santa Clara County, California",1936259,622617,44966,22142,759030,6904,271132,209468
"Santa Cruz County, California",270861,160565,3150,3607,12553,384,51894,38708
"Shasta County, California",182155,142899,1912,4911,5978,371,6523,19561
"Sierra County, California",3236,2703,7,24,7,1,106,388
"Siskiyou County, California",44076,33597,496,2019,888,38,1988,5050
"Solano County, California",453491,175768,62157,5388,72766,4162,66793,66457
"Sonoma County, California",488863,306684,7615,8855,22845,1840,75003,66021
"Stanislaus County, California",552878,256602,15913,10543,34778,4269,146129,84644
"Sutter County, California",99633,46810,1982,1902,18234,319,17896,12490
"Tehama County, California",65829,44926,420,1881,1027,132,9599,7844
"Trinity County, California",16112,11627,71,437,2222,32,367,1356
"Tulare County, California",473117,186255,6668,10645,17194,723,165230,86402
"Tuolumne County, California",55620,44207,1009,984,816,123,2808,5673
"Ventura County, California",843843,428677,15330,14573,64923,1723,173436,145181
"Yolo County, California",216403,107304,6164,3366,30392,1179,33887,34111
"Yuba County, California",81575,46590,3052,1754,5774,405,12227,11773
"Adams County, Colorado",519572,289718,17463,9520,23268,925,87386,91292
"Alamosa County, Colorado",16376,10069,251,709,180,19,2242,2906
"Arapahoe County, Colorado",655070,396027,70787,6820,42472,1777,54355,82832
"Archuleta County, Colorado",13359,10749,41,240,105,6,620,1598
"Baca County, Colorado",3506,3043,26,42,13,0,150,232
"Bent County, Colorado",5650,3831,256,162,52,0,862,487
"Boulder County, Colorado",330758,255983,3393,2509,16450,274,19148,33001
"Broomfield County, Colorado",74112,56334,989,435,5146,89,3017,8102
"Chaffee County, Colorado",19476,16693,296,185,137,13,782,1370
"Cheyenne County, Colorado",1748,1534,1,13,4,0,84,112
"Clear Creek County, Colorado",9397,8323,52,73,83,9,162,695
"Conejos County, Colorado",7461,5045,27,167,21,2,1056,1143
"Costilla County, Colorado",3499,1827,40,66,56,0,518,992
"Crowley County, Colorado",5922,3747,517,180,74,2,1022,380
"Custer County, Colorado",4704,4279,11,53,23,0,80,258
"Delta County, Colorado",31196,26117,145,294,243,9,1761,2627
"Denver County, Colorado",715522,433946,64038,10601,27875,1531,80773,96758
"Dolores County, Colorado",2326,2021,18,42,6,4,34,201
"Douglas County, Colorado",357978,289005,5160,1820,20064,345,7685,33899
"Eagle County, Colorado",55731,39594,340,497,727,47,6608,7918
"Elbert County, Colorado",26062,22817,123,182,187,22,569,2162
"El Paso County, Colorado",730395,516911,43822,7519,22471,3091,43074,93507
"Fremont County, Colorado",48939,39965,1848,850,338,30,2515,3393
"Garfield County, Colorado",61685,42038,335,870,411,40,9751,8240
"Gilpin County, Colorado",5808,5077,38,59,94,4,76,460
"Grand County, Colorado",15717,13772,64,80,90,17,734,960
"Gunnison County, Colorado",16918,14652,88,203,122,7,672,1174
"Hinsdale County, Colorado",788,706,8,6,3,1,6,58
"Huerfano County, Colorado",6820,4997,65,175,31,0,532,1020
"Jackson County, Colorado",1379,1199,0,14,2,2,50,112
"Jefferson County, Colorado",582910,460764,7356,6039,18157,536,27086,62972
"Kiowa County, Colorado",1446,1290,4,0,9,1,20,122
"Kit Carson County, Colorado",7087,5649,24,45,31,10,613,715
"Lake County, Colorado",7436,4996,38,157,67,8,1057,1113
"La Plata County, Colorado",55638,44366,205,3342,397,36,2280,5012
"Larimer County, Colorado",359066,295995,3815,2878,8538,325,13795,33720
"Las Animas County, Colorado",14555,10035,211,367,116,19,1603,2204
"Lincoln County, Colorado",5675,4397,275,75,47,24,493,364
"Logan County, Colorado",21528,17261,765,231,128,23,1618,1502
"Mesa County, Colorado",155703,127970,1151,1723,1676,208,7821,15154
"Mineral County, Colorado",865,789,3,6,3,0,0,64
"Moffat County, Colorado",13292,10872,77,155,54,2,789,1343
"Montezuma County, Colorado",25849,18958,80,3342,143,28,1095,2203
"Montrose County, Colorado",42679,33395,181,577,338,36,3870,4282
"Morgan County, Colorado",29111,19184,975,404,157,11,4422,3958
"Otero County, Colorado",18690,12847,165,376,101,28,2356,2817
"Ouray County, Colorado",4874,4396,16,16,28,4,93,321
"Park County, Colorado",17390,15318,94,167,104,9,335,1363
"Phillips County, Colorado",4530,3500,19,52,22,2,480,455
"Pitkin County, Colorado",17358,14797,106,76,290,14,836,1239
"Prowers County, Colorado",11999,8131,109,275,31,6,1916,1531
"Pueblo County, Colorado",168162,108805,3642,3867,1730,208,20226,29684
"Rio Blanco County, Colorado",6529,5699,34,58,22,2,264,450
"Rio Grande County, Colorado",11539,8093,61,288,42,9,1332,1714
"Routt County, Colorado",24829,21726,156,116,176,38,792,1825
"Saguache County, Colorado",6368,4209,20,192,63,2,585,1297
"San Juan County, Colorado",705,606,3,6,2,0,11,77
"San Miguel County, Colorado",8072,6922,21,92,55,2,395,585
"Sedgwick County, Colorado",2404,2062,5,19,12,1,121,184
"Summit County, Colorado",31055,24751,247,253,418,32,2728,2626
"Teller County, Colorado",24710,21566,135,182,212,12,398,2205
"Washington County, Colorado",4817,4230,32,20,19,14,158,344
"Weld County, Colorado",328981,231892,4539,4274,5857,365,36769,45285
"Yuma County, Colorado",9988,7437,22,73,34,6,1365,1051
"Fairfield County, Connecticut",957419,584184,106756,4369,51341,347,107587,102835
"Hartford County, Connecticut",899498,554184,127194,3145,53844,328,80430,80373
"Litchfield County, Connecticut",185186,158774,3348,511,3486,67,5995,13005
"Middlesex County, Connecticut",164245,134715,8565,392,4987,50,4189,11347
"New Haven County, Connecticut",864835,543831,118933,4058,37520,470,77660,82363
"New London County, Connecticut",268555,201548,16026,2488,10814,255,13210,24214
"Tolland County, Connecticut",149788,122869,5450,272,8465,59,3452,9221
"Windham County, Connecticut",116418,95023,2403,816,1998,22,6610,9546
"Kent County, Delaware",181851,107685,46998,1149,4429,125,5658,15807
"New Castle County, Delaware",570719,314231,146544,2156,35200,175,28714,43699
"Sussex County, Delaware",237378,175847,25357,1843,3070,112,14137,17012
