county,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
"Henry County, Indiana",48914,45401,1071,84,198,8,525,1627
"Howard County, Indiana",83658,69540,6516,257,1030,24,1117,5174
"Huntington County, Indiana",36662,34213,223,181,169,7,365,1504
"Jackson County, Indiana",46428,38701,501,462,471,12,2962,3319
"Jasper County, Indiana",32918,29690,144,92,91,17,903,1981
"Jay County, Indiana",20478,19145,55,33,68,12,482,683
"Jefferson County, Indiana",33147,30340,524,97,299,10,596,1281
"Jennings County, Indiana",27613,25880,178,73,51,6,402,1023
"Johnson County, Indiana",161765,138621,3915,396,7448,80,2532,8773
"Knox County, Indiana",36282,33366,714,75,283,13,450,1381
"Kosciusko County, Indiana",80240,69590,707,275,1353,24,3738,4553
"LaGrange County, Indiana",40446,38277,93,68,80,3,695,1230
"Lake County, Indiana",498700,275069,124073,3050,7553,148,38650,50157
"LaPorte County, Indiana",112417,88106,12090,431,754,25,3421,7590
"Lawrence County, Indiana",45011,42528,204,155,208,11,241,1664
"Madison County, Indiana",130129,108594,10225,407,655,43,3139,7066
"Marion County, Indiana",977203,513036,268694,5200,40062,463,75488,74260
"Marshall County, Indiana",46095,40306,223,187,280,7,2326,2766
"Martin County, Indiana",9812,9365,20,21,36,6,23,341
"Miami County, Indiana",35962,31502,1805,310,131,5,552,1657
"Monroe County, Indiana",139718,114435,5144,347,8376,46,2165,9205
"Montgomery County, Indiana",37936,34268,346,140,244,13,1126,1799
"Morgan County, Indiana",71780,67398,347,217,288,14,458,3058
"Newton County, Indiana",13830,12322,43,30,38,6,506,885
"Noble County, Indiana",47457,41352,233,205,226,8,2537,2896
"Ohio County, Indiana",5940,5654,16,4,31,0,23,212
"Orange County, Indiana",19867,18630,207,49,60,11,131,779
"Owen County, Indiana",21321,19962,84,52,62,0,109,1052
"Parke County, Indiana",16156,15406,198,57,30,0,90,375
"Perry County, Indiana",19170,17915,397,44,103,3,120,588
"Pike County, Indiana",12250,11716,39,41,15,0,59,380
"Porter County, Indiana",173215,143005,7588,526,2238,63,5064,14731
"Posey County, Indiana",25222,23775,211,45,107,3,141,940
"Pulaski County, Indiana",12514,11603,73,37,44,3,125,629
"Putnam County, Indiana",36726,33332,1030,83,355,17,512,1397
"Randolph County, Indiana",24502,22601,126,71,67,0,648,989
"Ripley County, Indiana",28995,27332,82,65,188,2,241,1085
"Rush County, Indiana",16752,15952,96,22,58,3,110,511
"St. Joseph County, Indiana",272912,194810,36123,1300,6643,163,12166,21707
"Scott County, Indiana",24384,23039,92,28,88,17,195,925
"Shelby County, Indiana",45055,40877,569,133,353,3,1282,1838
"Spencer County, Indiana",19810,18557,131,61,73,1,288,699
"Starke County, Indiana",23371,21768,87,72,40,4,238,1162
"Steuben County, Indiana",34435,31842,234,105,187,2,698,1367
"Sullivan County, Indiana",20817,18960,878,51,39,9,160,720
"Switzerland County, Indiana",9737,9298,16,31,24,0,37,331
"Tippecanoe County, Indiana",186251,135611,11252,725,13657,48,8403,16555
"Tipton County, Indiana",15359,14509,46,21,50,2,189,542
"Union County, Indiana",7087,6789,21,24,33,8,33,179
"Vanderburgh County, Indiana",180136,145199,17668,438,2438,684,2831,10878
"Vermillion County, Indiana",15439,14753,37,31,46,11,71,490
"Vigo County, Indiana",106153,89410,7177,361,2013,27,1530,5635
"Wabash County, Indiana",30976,28937,160,149,161,9,378,1182
"Warren County, Indiana",8440,8064,8,8,26,1,80,253
"Warrick County, Indiana",63898,57756,1057,111,1644,14,531,2785
"Washington County, Indiana",28182,26791,117,75,96,10,146,947
"Wayne County, Indiana",66553,57392,3076,203,717,17,1343,3805
"Wells County, Indiana",28180,26322,225,71,130,5,314,1113
"White County, Indiana",24688,21657,126,109,98,6,1264,1428
"Whitley County, Indiana",34191,32126,162,99,173,3,289,1339
"Adair County, Iowa",7496,7149,46,19,23,2,23,234
"Adams County, Iowa",3704,3531,12,19,13,0,22,107
"Allamakee County, Iowa",14061,12621,154,91,41,5,710,439
"Appanoose County, Iowa",12317,11690,75,24,70,7,40,411
"Audubon County, Iowa",5674,5469,17,5,5,1,30,147
"Benton County, Iowa",25575,24258,114,34,83,2,135,949
"Black Hawk County, Iowa",131144,102832,13676,422,3427,854,2792,7141
"Boone County, Iowa",26715,24943,301,65,100,3,248,1055
"Bremer County, Iowa",24988,23597,239,46,196,2,160,748
"Buchanan County, Iowa",20565,19696,72,28,52,12,100,605
"Buena Vista County, Iowa",20823,12597,591,124,1907,620,2786,2198
"Butler County, Iowa",14334,13827,26,25,28,0,68,360
"Calhoun County, Iowa",9927,9357,152,24,26,8,84,276
"Carroll County, Iowa",20760,19543,262,32,75,0,254,594
"Cass County, Iowa",13127,12413,29,25,35,78,120,427
"Cedar County, Iowa",18505,17472,83,52,62,2,147,687
"Cerro Gordo County, Iowa",43127,38618,930,143,535,137,624,2140
"Cherokee County, Iowa",11658,10831,87,33,57,14,238,398
"Chickasaw County, Iowa",12012,11252,80,21,30,7,176,446
"Clarke County, Iowa",9748,8231,44,55,81,40,632,665
"Clay County, Iowa",16384,15230,100,56,105,6,265,622
"Clayton County, Iowa",17043,16229,158,43,47,6,135,425
"Clinton County, Iowa",46460,41771,1420,142,263,14,506,2344
"Crawford County, Iowa",16525,11262,394,162,308,4,2633,1762
"Dallas County, Iowa",99678,83359,2698,224,5009,38,2556,5794
"Davis County, Iowa",9110,8797,8,11,15,0,50,229
"Decatur County, Iowa",7645,7081,108,20,39,24,101,272
"Delaware County, Iowa",17488,16787,122,50,48,1,86,394
"Des Moines County, Iowa",38910,33164,2532,78,403,22,476,2235
"Dickinson County, Iowa",17703,16819,79,21,82,1,142,559
"Dubuque County, Iowa",99266,88314,4126,261,1028,829,1074,3634
"Emmet County, Iowa",9388,8356,92,54,32,3,367,484
"Fayette County, Iowa",19509,18271,203,40,78,1,153,763
"Floyd County, Iowa",15627,14094,419,33,295,12,182,592
"Franklin County, Iowa",10019,8366,32,68,50,0,764,739
"Fremont County, Iowa",6605,6201,11,19,11,5,71,287
"Greene County, Iowa",8771,8258,28,16,50,1,86,332
"Grundy County, Iowa",12329,11836,49,10,24,0,36,374
"Guthrie County, Iowa",10623,10032,36,23,38,16,144,334
"Hamilton County, Iowa",15039,13079,103,77,319,0,672,789
"Hancock County, Iowa",10795,9959,76,39,25,5,186,505
"Hardin County, Iowa",16878,15465,147,32,91,6,413,724
"Harrison County, Iowa",14582,13922,27,29,50,3,82,469
"Henry County, Iowa",20482,17990,506,86,453,8,463,976
"Howard County, Iowa",9469,8940,23,48,27,7,116,308
"Humboldt County, Iowa",9597,8920,56,16,21,6,270,308
"Ida County, Iowa",7005,6662,31,4,22,11,87,188
"Iowa County, Iowa",16662,15571,111,35,94,1,223,627
"Jackson County, Iowa",19485,18461,152,43,46,192,89,502
"Jasper County, Iowa",37813,34866,703,124,215,30,379,1496
"Jefferson County, Iowa",15663,13565,419,55,500,9,312,803
"Johnson County, Iowa",152854,117090,12847,322,8599,43,4204,9749
"Jones County, Iowa",20646,19244,441,54,59,2,177,669
"Keokuk County, Iowa",10033,9547,51,15,16,0,84,320
"Kossuth County, Iowa",14828,13916,78,14,74,3,228,515
"Lee County, Iowa",33555,30336,910,72,140,8,300,1789
"Linn County, Iowa",230299,190644,16449,548,5374,528,3019,13737
"Louisa County, Iowa",10837,8834,78,54,270,0,836,765
"Lucas County, Iowa",8634,8207,23,7,29,0,87,281
"Lyon County, Iowa",11934,11270,41,32,24,46,186,335
"Madison County, Iowa",16548,15609,50,25,85,13,102,664
"Mahaska County, Iowa",22190,20453,394,41,253,15,151,883
"Marion County, Iowa",33414,31156,292,69,401,21,217,1258
"Marshall County, Iowa",40105,29579,815,330,1517,33,4125,3706
"Mills County, Iowa",14484,13504,77,30,48,10,114,701
"Mitchell County, Iowa",10565,10107,42,12,46,4,87,267
"Monona County, Iowa",8751,8141,28,146,28,2,59,347
"Monroe County, Iowa",7577,7225,19,13,16,2,64,238
"Montgomery County, Iowa",10330,9698,25,35,26,2,170,374
"Muscatine County, Iowa",43235,34598,1141,214,406,0,3469,3407
"O'Brien County, Iowa",14182,12825,161,80,80,11,376,649
"Osceola County, Iowa",6192,5485,30,32,21,36,275,313
"Page County, Iowa",15211,13858,365,62,124,0,149,653
"Palo Alto County, Iowa",8996,8465,52,23,39,6,104,307
"Plymouth County, Iowa",25698,23289,356,88,116,117,656,1076
"Pocahontas County, Iowa",7078,6459,66,21,29,23,182,298
"Polk County, Iowa",492401,373903,35623,2274,24510,302,19100,36689
"Pottawattamie County, Iowa",93667,81329,1889,655,785,80,3390,5539
"Poweshiek County, Iowa",18662,17209,328,65,223,21,172,644
"Ringgold County, Iowa",4663,4469,3,7,8,1,20,155
"Sac County, Iowa",9814,9271,46,11,31,9,160,286
"Scott County, Iowa",174669,138752,14117,585,4858,61,3384,12912
"Shelby County, Iowa",11746,10990,53,55,49,4,185,410
"Sioux County, Iowa",35872,30745,195,218,224,5,2241,2244
"Story County, Iowa",98537,81046,3019,324,5461,34,2641,6012
"Tama County, Iowa",17135,13658,137,1427,81,2,767,1063
"Taylor County, Iowa",5896,5412,2,17,15,4,196,250
"Union County, Iowa",12138,11365,118,38,65,7,104,441
"Van Buren County, Iowa",7203,6923,28,7,24,0,22,199
"Wapello County, Iowa",35437,28180,1469,232,629,520,2372,2035
"Warren County, Iowa",52403,48539,455,98,383,22,526,2380
"Washington County, Iowa",22565,20374,188,70,116,3,756,1058
"Wayne County, Iowa",6497,6261,10,17,25,2,12,170
"Webster County, Iowa",36999,32108,1825,176,303,16,670,1901
"Winnebago County, Iowa",10679,9665,214,22,98,3,257,420
"Winneshiek County, Iowa",20070,18852,131,34,178,12,302,561
"Woodbury County, Iowa",105941,76794,5197,2515,3008,661,8155,9611
"Worth County, Iowa",7443,7041,60,8,32,1,40,261
"Wright County, Iowa",12943,10542,75,86,69,8,1319,844
"Allen County, Kansas",12526,11180,186,150,67,2,159,782
"Anderson County, Kansas",7836,7312,26,53,47,2,66,330
"Atchison County, Kansas",16348,14111,788,88,83,7,269,1002
"Barber County, Kansas",4228,3857,8,34,16,5,91,217
"Barton County, Kansas",25493,21157,312,149,80,3,1855,1937
"Bourbon County, Kansas",14360,12585,469,100,98,2,146,960
"Brown County, Kansas",9508,7772,100,872,45,7,105,607
"Butler County, Kansas",67380,58119,1463,569,1005,39,957,5228
"Chase County, Kansas",2572,2271,20,16,8,3,146,108
"Chautauqua County, Kansas",3379,2847,23,189,19,0,76,225
"Cherokee County, Kansas",19362,16475,80,799,65,26,148,1769
"Cheyenne County, Kansas",2616,2282,7,7,12,0,105,203
"Clark County, Kansas",1991,1724,6,21,24,1,90,125
"Clay County, Kansas",8117,7542,50,50,53,0,66,356
"Cloud County, Kansas",9032,8338,123,44,40,9,77,401
"Coffey County, Kansas",8360,7777,45,37,44,1,50,406
"Comanche County, Kansas",1689,1560,12,2,0,1,24,90
"Cowley County, Kansas",34549,27413,895,784,505,179,1425,3348
"Crawford County, Kansas",38972,32587,913,373,461,193,1271,3174
"Decatur County, Kansas",2764,2605,9,9,15,0,7,119
"Dickinson County, Kansas",18402,16814,117,87,80,21,248,1035
"Doniphan County, Kansas",7510,6701,268,83,32,19,66,341
"Douglas County, Kansas",118785,92694,5301,2950,4685,86,2569,10500
"Edwards County, Kansas",2907,2400,14,17,2,1,211,262
"Elk County, Kansas",2483,2253,5,48,4,0,18,155
"Ellis County, Kansas",28934,25584,340,96,266,2,996,1650
"Ellsworth County, Kansas",6376,5655,254,53,31,0,66,317
"Finney County, Kansas",38470,19812,1542,367,1548,35,6541,8625
"Ford County, Kansas",34287,17167,978,753,417,14,8409,6549
"Franklin County, Kansas",25996,23187,305,220,108,7,381,1788
"Geary County, Kansas",36739,21857,6303,325,1250,458,1682,4864
"Gove County, Kansas",2718,2516,5,3,15,1,31,147
"Graham County, Kansas",2415,2212,57,14,14,3,14,101
"Grant County, Kansas",7352,4223,10,164,14,5,1510,1426
"Gray County, Kansas",5653,4879,19,15,14,0,278,448
"Greeley County, Kansas",1284,1075,2,12,5,1,84,105
"Greenwood County, Kansas",6016,5494,28,35,36,1,52,370
"Hamilton County, Kansas",2518,1597,13,27,5,0,538,338
"Harper County, Kansas",5485,4829,17,98,15,5,204,317
"Harvey County, Kansas",34024,28658,650,267,261,11,1482,2695
"Haskell County, Kansas",3780,2842,13,11,2,0,557,355
"Hodgeman County, Kansas",1723,1584,14,12,12,1,19,81
"Jackson County, Kansas",13232,10727,103,1213,34,18,165,972
"Jefferson County, Kansas",18368,16797,103,128,43,31,124,1142
"Jewell County, Kansas",2932,2757,5,12,10,0,19,129
"Johnson County, Kansas",609863,473342,28781,2568,33030,384,18692,53066
"Kearny County, Kansas",3983,2661,41,35,7,1,492,746
"Kingman County, Kansas",7470,6925,38,36,35,4,99,333
"Kiowa County, Kansas",2460,2184,43,12,16,4,30,171
"Labette County, Kansas",20184,16464,867,451,91,9,264,2038
"Lane County, Kansas",1574,1406,0,8,0,3,51,106
"Leavenworth County, Kansas",81881,64640,6858,697,1103,153,1313,7117
"Lincoln County, Kansas",2939,2740,8,16,10,1,46,118
"Linn County, Kansas",9591,8906,67,48,20,8,44,498
"Logan County, Kansas",2762,2513,5,1,10,2,87,144
"Lyon County, Kansas",32179,23801,651,266,574,16,3774,3097
"McPherson County, Kansas",30223,26965,478,151,225,13,673,1718
"Marion County, Kansas",11823,10910,122,54,39,7,178,513
"Marshall County, Kansas",10038,9480,42,23,46,2,56,389
"Meade County, Kansas",4055,3262,37,12,13,0,316,415
"Miami County, Kansas",34191,30907,436,166,161,16,317,2188
"Mitchell County, Kansas",5796,5490,19,12,13,0,40,222
"Montgomery County, Kansas",31486,24297,1566,1023,201,24,949,3426
"Morris County, Kansas",5386,4985,16,15,18,1,63,288
"Morton County, Kansas",2701,2076,20,16,31,9,275,274
"Nemaha County, Kansas",10273,9700,64,39,39,7,96,328
"Neosho County, Kansas",15904,14105,148,166,84,6,254,1141
"Ness County, Kansas",2687,2347,2,19,2,2,173,142
"Norton County, Kansas",5459,4863,210,42,35,2,48,259
"Osage County, Kansas",15766,14706,33,48,52,3,99,825
"Osborne County, Kansas",3500,3304,1,19,18,0,29,129
"Ottawa County, Kansas",5735,5338,30,22,11,0,30,304
"Pawnee County, Kansas",6253,5361,249,38,28,3,128,446
"Phillips County, Kansas",4981,4684,19,22,15,1,27,213
"Pottawatomie County, Kansas",25348,22618,286,150,200,27,294,1773
"Pratt County, Kansas",9157,8104,106,67,45,7,323,505
"Rawlins County, Kansas",2561,2283,19,3,11,0,73,172
"Reno County, Kansas",61898,52761,1863,519,352,48,1776,4579
"Republic County, Kansas",4674,4437,15,13,11,9,11,178
"Rice County, Kansas",9427,7853,145,63,30,0,438,898
"Riley County, Kansas",71959,54567,5011,440,3367,225,2322,6027
"Rooks County, Kansas",4919,4619,29,21,5,10,12,223
"Rush County, Kansas",2956,2800,7,4,14,0,18,113
"Russell County, Kansas",6691,6138,60,32,28,0,64,369
"Saline County, Kansas",54303,43415,1830,349,1139,31,2262,5277
"Scott County, Kansas",5151,4173,14,44,16,8,325,571
"Sedgwick County, Kansas",523824,357757,46531,6581,22511,575,32207,57662
"Seward County, Kansas",21964,9015,672,527,535,6,5982,5227
"Shawnee County, Kansas",178909,132398,14211,2213,2521,180,8403,18983
"Sheridan County, Kansas",2447,2257,3,11,12,2,46,116
"Sherman County, Kansas",5927,5025,103,19,17,1,328,434
"Smith County, Kansas",3570,3390,17,15,9,1,36,102
"Stafford County, Kansas",4072,3500,14,36,13,1,175,333
"Stanton County, Kansas",2084,1257,14,44,2,1,439,327
"Stevens County, Kansas",5250,3484,20,62,22,0,1066,596
"Sumner County, Kansas",22382,19934,205,240,73,0,358,1572
"Thomas County, Kansas",7930,7100,108,48,47,0,184,443
"Trego County, Kansas",2808,2644,5,5,12,0,9,133
"Wabaunsee County, Kansas",6877,6303,31,40,18,4,53,428
"Wallace County, Kansas",1512,1370,3,5,0,2,46,86
"Washington County, Kansas",5530,5153,13,5,4,2,111,242
"Wichita County, Kansas",2152,1547,3,23,2,2,273,302
"Wilson County, Kansas",8624,7759,22,88,35,2,88,630
"Woodson County, Kansas",3115,2890,8,30,0,0,17,170
"Wyandotte County, Kansas",169245,73721,34589,1917,7705,387,25643,25283
"Adair County, Kentucky",18903,17322,529,34,64,6,271,677
"Allen County, Kentucky",20588,19135,204,50,48,7,246,898
"Anderson County, Kentucky",23852,21797,492,60,105,7,245,1146
"Ballard County, Kentucky",7728,7103,208,13,33,0,5,366
"Barren County, Kentucky",44485,39270,1724,147,260,54,802,2228
"Bath County, Kentucky",12750,12192,128,4,21,1,59,345
"Bell County, Kentucky",24097,22388,558,37,124,4,135,851
"Boone County, Kentucky",135968,114457,5728,443,3078,307,3275,8680
"Bourbon County, Kentucky",20252,17076,1035,60,77,9,922,1073
"Boyd County, Kentucky",48261,44282,1310,116,278,7,309,1959
"Boyle County, Kentucky",30614,25365,2194,61,361,4,619,2010
"Bracken County, Kentucky",8400,7994,51,14,13,2,33,293
"Breathitt County, Kentucky",13718,13083,57,11,39,11,16,501
"Breckinridge County, Kentucky",20432,18831,426,46,39,3,122,965
"Bullitt County, Kentucky",82217,75417,1045,212,451,25,738,4329
"Butler County, Kentucky",12371,11464,15,32,23,3,407,427
"Caldwell County, Kentucky",12649,11244,674,25,56,2,70,578
"Calloway County, Kentucky",37103,32626,1313,64,435,11,547,2107
"Campbell County, Kentucky",93076,83361,2832,203,1034,30,1123,4493
"Carlisle County, Kentucky",4826,4531,63,29,10,0,9,184
"Carroll County, Kentucky",10810,9567,184,40,44,4,314,657
"Carter County, Kentucky",26627,25560,212,58,63,1,84,649
"Casey County, Kentucky",15941,14974,83,53,55,1,332,443
"Christian County, Kentucky",72748,48279,15527,389,973,246,2219,5115
"Clark County, Kentucky",36972,32555,1648,98,212,17,709,1733
"Clay County, Kentucky",20345,18891,839,32,23,11,65,484
"Clinton County, Kentucky",9253,8745,40,22,10,3,139,294
"Crittenden County, Kentucky",8990,8559,82,15,6,5,39,284
"Cumberland County, Kentucky",5888,5462,150,6,4,6,38,222
"Daviess County, Kentucky",103312,88425,4872,262,2427,59,1908,5359
"Edmonson County, Kentucky",12126,11546,98,32,32,7,49,362
"Elliott County, Kentucky",7354,6903,246,19,18,0,51,117
"Estill County, Kentucky",14163,13666,30,30,7,0,30,400
"Fayette County, Kentucky",322570,220236,48076,1105,13427,144,16732,22850
"Fleming County, Kentucky",15082,14381,148,35,17,3,128,370
"Floyd County, Kentucky",35942,34828,122,33,97,1,74,787
"Franklin County, Kentucky",51541,41736,4481,162,1032,17,1011,3102
"Fulton County, Kentucky",6515,4599,1444,26,21,11,67,347
"Gallatin County, Kentucky",8690,7862,74,23,13,7,259,452
"Garrard County, Kentucky",16953,15581,302,37,51,9,175,798
"Grant County, Kentucky",24941,23002,195,51,67,33,328,1265
"Graves County, Kentucky",36649,31149,1564,128,181,4,1421,2202
"Grayson County, Kentucky",26420,24904,310,77,96,2,154,877
"Green County, Kentucky",11107,10447,160,20,31,2,95,352
"Greenup County, Kentucky",35962,34096,220,74,230,5,145,1192
"Hancock County, Kentucky",9095,8624,79,4,38,0,64,286
"Hardin County, Kentucky",110702,82959,12825,490,2277,421,2330,9400
"Harlan County, Kentucky",26831,25107,541,56,85,0,115,927
"Harrison County, Kentucky",18692,17357,307,34,46,1,169,778
"Hart County, Kentucky",19288,17577,705,39,47,6,135,779
"Henderson County, Kentucky",44793,37648,3652,101,241,44,774,2333
"Henry County, Kentucky",15678,14215,372,60,36,0,260,735
"Hickman County, Kentucky",4521,3902,386,14,11,1,17,190
"Hopkins County, Kentucky",45423,39331,2947,98,232,29,540,2246
"Jackson County, Kentucky",12955,12559,12,41,19,4,29,291
"Jefferson County, Kentucky",782969,499868,168910,2502,27115,612,26788,57174
"Jessamine County, Kentucky",52991,45878,2290,135,658,28,987,3015
"Johnson County, Kentucky",22680,21933,45,39,101,4,55,503
"Kenton County, Kentucky",169064,143992,8195,445,2032,244,3658,10498
"Knott County, Kentucky",14251,13861,67,9,18,1,21,274
"Knox County, Kentucky",30193,28616,296,87,85,1,109,999
"Larue County, Kentucky",14867,13490,377,56,29,18,204,693
"Laurel County, Kentucky",62613,58888,447,169,429,4,410,2266
"Lawrence County, Kentucky",16293,15787,36,2,23,4,46,395
"Lee County, Kentucky",7395,6909,280,2,0,0,35,169
"Leslie County, Kentucky",10513,10197,45,22,16,0,11,222
"Letcher County, Kentucky",21548,20841,92,34,57,0,38,486
"Lewis County, Kentucky",13080,12633,36,18,9,4,25,355
"Lincoln County, Kentucky",24275,22671,470,40,60,2,183,849
"Livingston County, Kentucky",8888,8287,25,25,15,6,81,449
"Logan County, Kentucky",27432,23902,1682,59,95,2,486,1206
"Lyon County, Kentucky",8680,7772,510,27,34,1,84,252
"McCracken County, Kentucky",67875,54304,7598,214,663,18,975,4103
"McCreary County, Kentucky",16888,15315,916,64,32,3,69,489
"McLean County, Kentucky",9152,8737,49,10,13,2,78,263
"Madison County, Kentucky",92701,80557,3963,271,1006,60,1218,5626
"Magoffin County, Kentucky",11637,11360,14,14,5,6,32,206
"Marion County, Kentucky",19581,16948,1214,23,134,47,339,876
"Marshall County, Kentucky",31659,29908,101,69,136,9,155,1281
"Martin County, Kentucky",11287,10259,796,42,17,1,5,167
"Mason County, Kentucky",17120,14867,1024,40,111,0,168,910
"Meade County, Kentucky",30003,26321,987,139,218,74,341,1923
"Menifee County, Kentucky",6113,5891,30,12,2,2,14,162
"Mercer County, Kentucky",22641,20268,768,62,74,14,362,1093
"Metcalfe County, Kentucky",10286,9701,117,5,7,0,136,320
"Monroe County, Kentucky",11338,10489,218,39,11,0,270,311
"Montgomery County, Kentucky",28114,25566,621,57,146,1,468,1255
"Morgan County, Kentucky",13726,12570,496,20,17,4,66,553
"Muhlenberg County, Kentucky",30928,28366,1215,65,59,3,222,998
"Nelson County, Kentucky",46738,41500,2200,95,268,8,462,2205
"Nicholas County, Kentucky",7537,7178,41,15,7,3,66,227
"Ohio County, Kentucky",23772,22070,166,57,45,3,644,787
"Oldham County, Kentucky",67607,58537,2244,200,1177,17,1162,4270
"Owen County, Kentucky",11278,10550,83,26,18,4,132,465
"Owsley County, Kentucky",4051,3905,14,6,3,5,5,113
"Pendleton County, Kentucky",14644,13904,56,21,30,4,105,524
"Perry County, Kentucky",28473,26820,375,57,255,1,102,863
"Pike County, Kentucky",58669,55974,496,81,373,14,253,1478
"Powell County, Kentucky",13129,12559,66,28,30,0,93,353
"Pulaski County, Kentucky",65034,60111,695,210,440,13,806,2759
"Robertson County, Kentucky",2193,2112,6,3,7,0,3,62
"Rockcastle County, Kentucky",16037,15378,60,35,30,0,83,451
"Rowan County, Kentucky",24662,22914,383,47,170,5,340,803
"Russell County, Kentucky",17991,16733,113,78,104,3,359,601
"Scott County, Kentucky",57155,48523,2951,185,594,25,1218,3659
"Shelby County, Kentucky",48065,38653,2755,257,369,33,2432,3566
"Simpson County, Kentucky",19594,16374,1640,80,94,8,303,1095
"Spencer County, Kentucky",19490,17910,299,38,90,12,146,995
"Taylor County, Kentucky",26023,22938,1255,32,246,10,379,1163
"Todd County, Kentucky",12243,10354,887,43,22,6,352,579
"Trigg County, Kentucky",14061,12309,952,35,27,6,113,619
"Trimble County, Kentucky",8474,7992,30,38,27,4,50,333
"Union County, Kentucky",13668,11873,1041,27,32,1,102,592
"Warren County, Kentucky",134554,99453,12933,481,7326,682,5156,8523
"Washington County, Kentucky",12027,10538,659,30,38,5,278,479
"Wayne County, Kentucky",19555,18139,240,49,62,6,453,606
"Webster County, Kentucky",13017,11440,485,95,26,1,409,561
"Whitley County, Kentucky",36712,34307,568,92,207,10,266,1262
"Wolfe County, Kentucky",6562,6383,27,10,5,8,21,108
"Woodford County, Kentucky",26871,22701,1248,108,159,12,1033,1610
"Acadia Parish, Louisiana",57576,44480,9989,152,163,2,817,1973
"Allen Parish, Louisiana",22750,16327,4102,539,183,7,521,1071
"Ascension Parish, Louisiana",126500,81141,30521,513,1709,33,4801,7782
"Assumption Parish, Louisiana",21039,13722,6013,102,62,0,285,855
"Avoyelles Parish, Louisiana",39693,25625,10706,364,359,9,823,1807
"Beauregard Parish, Louisiana",36549,29529,4111,304,223,32,367,1983
"Bienville Parish, Louisiana",12981,6950,5307,62,21,5,61,575
"Bossier Parish, Louisiana",128746,81052,30099,797,2396,119,4948,9335
"Caddo Parish, Louisiana",237848,103457,115298,1093,3206,126,3808,10860
"Calcasieu Parish, Louisiana",216785,139772,55263,1100,3827,138,4818,11867
"Caldwell Parish, Louisiana",9645,7646,1534,19,42,3,57,344
"Cameron Parish, Louisiana",5617,5232,72,28,13,1,70,201
"Catahoula Parish, Louisiana",8906,5776,2297,46,28,6,509,244
"Claiborne Parish, Louisiana",14170,7263,6184,43,42,0,209,429
"Concordia Parish, Louisiana",18687,10275,7518,50,117,0,180,547
"De Soto Parish, Louisiana",26812,15284,9621,269,99,0,402,1137
"East Baton Rouge Parish, Louisiana",456781,196069,206681,1285,14499,121,15503,22623
"East Carroll Parish, Louisiana",7459,2054,5188,3,19,0,35,160
"East Feliciana Parish, Louisiana",19539,11516,7139,61,48,11,164,600
"Evangeline Parish, Louisiana",32350,21354,8664,57,183,2,921,1169
"Franklin Parish, Louisiana",19774,12492,6554,31,41,0,77,579
"Grant Parish, Louisiana",22169,17709,3108,206,67,6,104,969
"Iberia Parish, Louisiana",69929,39206,23162,307,1943,3,1586,3722
"Iberville Parish, Louisiana",30241,14833,13377,67,123,13,752,1076
"Jackson Parish, Louisiana",15031,9967,3956,37,149,5,304,613
"Jefferson Parish, Louisiana",440781,220935,117892,2524,19780,152,36689,42809
"Jefferson Davis Parish, Louisiana",32250,25066,5148,168,100,14,325,1429
"Lafayette Parish, Louisiana",241753,153363,61086,961,5268,76,6717,14282
"Lafourche Parish, Louisiana",97557,71710,14640,2554,773,31,2542,5307
"LaSalle Parish, Louisiana",14791,11348,1299,135,252,10,1254,493
"Lincoln Parish, Louisiana",48396,26034,18729,188,685,5,836,1919
"Livingston Parish, Louisiana",142282,116855,11268,463,1123,38,3531,9004
"Madison Parish, Louisiana",10017,3475,6224,29,6,5,45,233
"Morehouse Parish, Louisiana",25629,12281,12048,85,96,3,184,932
"Natchitoches Parish, Louisiana",37515,19361,14948,326,173,20,805,1882
"Orleans Parish, Louisiana",383997,126462,208273,1337,10703,147,12409,24666
"Ouachita Parish, Louisiana",160368,88545,59083,510,2291,42,3118,6779
"Plaquemines Parish, Louisiana",23515,14287,4920,285,1053,40,949,1981
"Pointe Coupee Parish, Louisiana",20758,12395,7245,50,65,2,271,730
"Rapides Parish, Louisiana",130023,77510,40484,1026,1828,35,2284,6856
"Red River Parish, Louisiana",7620,4195,2965,47,1,0,67,345
"Richland Parish, Louisiana",20043,11785,7336,55,50,0,171,646
"Sabine Parish, Louisiana",22155,15036,3529,1926,63,12,226,1363
"St. Bernard Parish, Louisiana",43764,24497,11507,323,997,18,2101,4321
"St. Charles Parish, Louisiana",52549,33550,13133,259,576,20,1315,3696
"St. Helena Parish, Louisiana",10920,4527,5861,45,20,7,107,353
"St. James Parish, Louisiana",20192,9973,9523,34,31,5,147,479
"St. John the Baptist Parish, Louisiana",42477,13877,24305,167,317,12,1505,2294
"St. Landry Parish, Louisiana",82540,43611,34360,202,380,13,1206,2768
"St. Martin Parish, Louisiana",51767,33259,15099,202,441,3,730,2033
"St. Mary Parish, Louisiana",49406,26949,15058,1006,647,13,2465,3268
"St. Tammany Parish, Louisiana",264570,196641,34356,1184,3898,105,6012,22374
"Tangipahoa Parish, Louisiana",133157,81336,40039,533,1003,24,2986,7236
"Tensas Parish, Louisiana",4147,1744,2250,0,6,1,19,127
