,county,labor_force,employed,unemployed,unemployed_pct,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
425,"Osceola County, Florida",185793,160638,25155,13.5     ,388656,157720,40775,2253,11803,338,78160,97607
426,"Palm Beach County, Florida",717379,662945,54434,7.6     ,1492191,855682,262422,9598,44140,685,111406,208258
427,"Pasco County, Florida",238327,221185,17142,7.2     ,561891,417086,34004,2205,16775,391,26351,65079
428,"Pinellas County, Florida",484330,450266,34064,7.0     ,959107,709036,94154,3561,34167,852,32875,84462
429,"Polk County, Florida",316626,287979,28647,9.0     ,725046,439034,105533,3884,13514,463,68847,93771
430,"Putnam County, Florida",26470,24378,2092,7.9     ,73321,52345,11444,434,481,39,3350,5228
431,"St. Johns County, Florida",133843,126772,7071,5.3     ,273425,220420,13363,726,9882,160,4766,24108
432,"St. Lucie County, Florida",145363,134060,11303,7.8     ,329226,192202,66407,1398,5818,185,22160,41056
433,"Santa Rosa County, Florida",82647,78348,4299,5.2     ,188000,151133,11035,1309,3928,392,3627,16576
434,"Sarasota County, Florida",184464,171875,12589,6.8     ,434006,359053,16781,1320,8515,182,14536,33619
435,"Seminole County, Florida",237769,220602,17167,7.2     ,470856,289597,53509,1623,25615,322,30950,69240
436,"Sumter County, Florida",32225,29691,2534,7.9     ,129752,112058,8593,386,1256,41,1906,5512
437,"Suwannee County, Florida",17758,16758,1000,5.6     ,43474,33024,5010,228,275,19,1892,3026
438,"Taylor County, Florida",8169,7659,510,6.2     ,21796,16047,4209,114,225,0,292,909
439,"Union County, Florida",4552,4336,216,4.7     ,16147,11903,3233,50,35,0,307,619
440,"Volusia County, Florida",249560,230585,18975,7.6     ,553543,400163,57789,2085,10689,305,27530,54982
441,"Wakulla County, Florida",14885,14216,669,4.5     ,33764,26614,4250,165,203,19,544,1969
442,"Walton County, Florida",31957,30070,1887,5.9     ,75305,61858,3339,539,923,46,2862,5738
443,"Washington County, Florida",9478,8929,549,5.8     ,25318,19811,3283,222,137,28,350,1487
444,"Appling County, Georgia",9105,8674,431,4.7     ,18444,13071,3387,91,128,1,1059,707
445,"Atkinson County, Georgia",4434,4262,172,3.9     ,8286,5280,1213,64,13,4,1039,673
446,"Bacon County, Georgia",4652,4425,227,4.9     ,11140,8251,1763,14,40,4,571,497
447,"Baker County, Georgia",1145,1076,69,6.0     ,2876,1536,1130,1,18,0,73,118
448,"Baldwin County, Georgia",17607,16388,1219,6.9     ,43799,22655,18404,83,599,28,670,1360
449,"Banks County, Georgia",9778,9359,419,4.3     ,18035,15838,395,103,190,14,513,982
450,"Barrow County, Georgia",40112,38057,2055,5.1     ,83505,57644,10369,405,3274,23,5025,6765
451,"Bartow County, Georgia",49719,46612,3107,6.2     ,108901,82391,11512,481,1186,44,5370,7917
452,"Ben Hill County, Georgia",5460,5083,377,6.9     ,17194,9432,6267,70,119,0,546,760
453,"Berrien County, Georgia",7405,6977,428,5.8     ,18160,14643,1954,37,80,10,480,956
454,"Bibb County, Georgia",67421,62371,5050,7.5     ,157346,57778,85885,373,3251,53,3735,6271
455,"Bleckley County, Georgia",4501,4209,292,6.5     ,12583,9016,2818,20,154,8,200,367
456,"Brantley County, Georgia",6995,6618,377,5.4     ,18021,16427,568,57,42,3,129,795
457,"Brooks County, Georgia",6842,6488,354,5.2     ,16301,9307,5714,50,67,6,456,701
458,"Bryan County, Georgia",18718,17732,986,5.3     ,44738,32217,6486,140,1060,53,987,3795
459,"Bulloch County, Georgia",37020,34601,2419,6.5     ,81099,50718,23052,225,1303,71,1874,3856
460,"Burke County, Georgia",9026,8379,647,7.2     ,24596,12166,11027,58,97,13,329,906
461,"Butts County, Georgia",10739,10075,664,6.2     ,25434,16823,6832,39,107,9,432,1192
462,"Calhoun County, Georgia",2237,2124,113,5.1     ,5573,1783,3581,8,19,0,102,80
463,"Camden County, Georgia",21089,20092,997,4.7     ,54768,38371,9697,261,882,77,1176,4304
464,"Candler County, Georgia",5633,5383,250,4.4     ,10981,6768,2695,30,65,3,811,609
465,"Carroll County, Georgia",54475,51009,3466,6.4     ,119148,82566,22126,520,1121,23,4978,7814
466,"Catoosa County, Georgia",32611,31194,1417,4.3     ,67872,59903,1858,244,1035,85,895,3852
467,"Charlton County, Georgia",4842,4660,182,3.8     ,12518,8745,2627,47,116,2,533,448
468,"Chatham County, Georgia",140631,129918,10713,7.6     ,295291,143891,109313,1079,10709,456,11609,18234
469,"Chattahoochee County, Georgia",1988,1864,124,6.2     ,9565,5965,1511,46,306,111,586,1040
470,"Chattooga County, Georgia",9767,8947,820,8.4     ,24965,20293,2408,98,102,0,860,1204
471,"Cherokee County, Georgia",133045,126581,6464,4.9     ,266620,204670,17785,1343,5497,117,12616,24592
472,"Clarke County, Georgia",58206,54453,3753,6.4     ,128671,74925,31660,580,4954,86,7849,8617
473,"Clay County, Georgia",896,785,111,12.4     ,2848,1151,1597,1,6,0,8,85
474,"Clayton County, Georgia",139790,125357,14433,10.3     ,297595,30505,207981,1991,13640,178,26319,16981
475,"Clinch County, Georgia",2943,2826,117,4.0     ,6749,4309,1965,30,23,14,142,266
476,"Cobb County, Georgia",414357,389904,24453,5.9     ,766149,387625,203840,4260,42810,395,54070,73149
477,"Coffee County, Georgia",18938,17835,1103,5.8     ,43092,25437,11972,210,301,26,2974,2172
478,"Colquitt County, Georgia",21917,20938,979,4.5     ,45898,27248,10068,400,388,15,4808,2971
479,"Columbia County, Georgia",74411,71266,3145,4.2     ,156010,102028,28315,540,7211,302,3917,13697
480,"Cook County, Georgia",8102,7718,384,4.7     ,17229,10975,4772,73,101,9,540,759
481,"Coweta County, Georgia",73981,69397,4584,6.2     ,146158,101755,25867,525,3365,66,4649,9931
482,"Crawford County, Georgia",5488,5211,277,5.0     ,12130,9008,2268,58,31,4,152,609
483,"Crisp County, Georgia",9515,8767,748,7.9     ,20128,10007,8879,35,180,4,377,646
484,"Dade County, Georgia",7860,7538,322,4.1     ,16251,14895,142,83,131,5,129,866
485,"Dawson County, Georgia",12319,11735,584,4.7     ,26798,23852,209,90,236,15,671,1725
486,"Decatur County, Georgia",11304,10763,541,4.8     ,29367,14558,12241,109,186,16,1198,1059
487,"DeKalb County, Georgia",395683,364209,31474,8.0     ,764382,225752,388963,4412,50384,250,44728,49893
488,"Dodge County, Georgia",6957,6542,415,6.0     ,19925,13020,5870,23,95,17,280,620
489,"Dooly County, Georgia",4925,4547,378,7.7     ,11208,4691,5561,27,51,5,563,310
490,"Dougherty County, Georgia",37712,34469,3243,8.6     ,85790,20976,59988,167,668,30,1401,2560
491,"Douglas County, Georgia",72297,66930,5367,7.4     ,144237,52285,69870,689,2347,118,8383,10545
492,"Early County, Georgia",4424,4168,256,5.8     ,10854,4864,5562,36,47,3,60,282
493,"Echols County, Georgia",1899,1825,74,3.9     ,3697,2534,157,66,11,0,545,384
494,"Effingham County, Georgia",31400,29827,1573,5.0     ,64769,49132,8845,249,681,40,1331,4491
495,"Elbert County, Georgia",7969,7418,551,6.9     ,19637,12824,5280,59,182,9,509,774
496,"Emanuel County, Georgia",8518,7915,603,7.1     ,22768,14026,7264,60,143,2,571,702
497,"Evans County, Georgia",5002,4745,257,5.1     ,10774,6240,3114,29,82,12,691,606
498,"Fannin County, Georgia",11066,10542,524,4.7     ,25319,23549,85,95,113,5,332,1140
499,"Fayette County, Georgia",56444,53389,3055,5.4     ,119194,69788,29559,410,6419,58,3935,9025
500,"Floyd County, Georgia",43234,40522,2712,6.3     ,98584,69485,14087,698,1289,24,5790,7211
501,"Forsyth County, Georgia",120904,115371,5533,4.6     ,251283,163687,10721,1017,45203,92,10270,20293
502,"Franklin County, Georgia",9892,9308,584,5.9     ,23424,19449,1904,43,261,6,649,1112
503,"Fulton County, Georgia",557232,512593,44639,8.0     ,1066710,418700,453834,3255,80949,452,38612,70908
504,"Gilmer County, Georgia",11963,11401,562,4.7     ,31353,26962,146,260,143,5,2050,1787
505,"Glascock County, Georgia",1244,1193,51,4.1     ,2884,2590,196,0,7,4,4,83
506,"Glynn County, Georgia",38215,35610,2605,6.8     ,84499,54229,20676,372,1189,121,3086,4826
507,"Gordon County, Georgia",28062,26531,1531,5.5     ,57544,45135,2147,358,722,21,4577,4584
508,"Grady County, Georgia",10601,10139,462,4.4     ,26236,15065,7336,256,120,6,2104,1349
509,"Greene County, Georgia",7080,6663,417,5.9     ,18915,11296,5810,37,174,4,705,889
510,"Gwinnett County, Georgia",481453,450909,30544,6.3     ,957062,339822,262709,7918,127152,604,116276,102581
511,"Habersham County, Georgia",18691,17675,1016,5.4     ,46031,36249,1749,236,999,36,3044,3718
512,"Hall County, Georgia",101949,97133,4816,4.7     ,203136,130744,14660,1739,4254,107,29343,22289
513,"Hancock County, Georgia",2532,2309,223,8.8     ,8735,2421,6028,25,37,1,23,200
514,"Haralson County, Georgia",12245,11525,720,5.9     ,29919,27011,1253,64,187,11,223,1170
515,"Harris County, Georgia",16527,15763,764,4.6     ,34668,26353,5237,122,397,21,477,2061
516,"Hart County, Georgia",11373,10757,616,5.4     ,25828,19447,4334,63,335,2,467,1180
517,"Heard County, Georgia",5132,4798,334,6.5     ,11412,9672,942,33,53,6,104,602
518,"Henry County, Georgia",115352,106831,8521,7.4     ,240712,89241,118124,832,8064,132,8717,15602
519,"Houston County, Georgia",70418,66769,3649,5.2     ,163633,88519,52610,574,4975,153,4938,11864
520,"Irwin County, Georgia",3467,3276,191,5.5     ,9666,6487,2229,24,119,1,498,308
521,"Jackson County, Georgia",39648,37910,1738,4.4     ,75907,60464,5232,245,1780,44,3128,5014
522,"Jasper County, Georgia",6756,6422,334,4.9     ,14588,10913,2464,42,24,9,367,769
523,"Jeff Davis County, Georgia",6099,5785,314,5.1     ,14779,10354,2307,82,54,7,1254,721
524,"Jefferson County, Georgia",6658,6209,449,6.7     ,15709,6941,7976,44,70,0,268,410
525,"Jenkins County, Georgia",3178,2978,200,6.3     ,8674,4679,3545,35,12,5,186,212
526,"Johnson County, Georgia",4006,3808,198,4.9     ,9189,5822,3032,23,28,15,47,222
527,"Jones County, Georgia",13346,12737,609,4.6     ,28347,20206,6767,49,141,7,193,984
528,"Lamar County, Georgia",7980,7476,504,6.3     ,18500,12475,4914,21,103,4,209,774
529,"Lanier County, Georgia",3723,3529,194,5.2     ,9877,6794,2173,40,81,20,192,577
530,"Laurens County, Georgia",19367,18075,1292,6.7     ,49570,28160,18332,102,513,14,783,1666
531,"Lee County, Georgia",14763,14081,682,4.6     ,33163,22985,7375,78,854,13,370,1488
532,"Liberty County, Georgia",25741,24140,1601,6.2     ,65256,25953,28095,320,1380,478,2671,6359
533,"Lincoln County, Georgia",3497,3307,190,5.4     ,7690,5239,2124,18,20,3,22,264
534,"Long County, Georgia",8139,7782,357,4.4     ,16168,9197,4125,137,181,91,903,1534
535,"Lowndes County, Georgia",51599,48484,3115,6.0     ,118251,61186,44434,477,1952,117,3224,6861
536,"Lumpkin County, Georgia",16463,15671,792,4.8     ,33488,29750,429,187,257,21,691,2153
537,"McDuffie County, Georgia",8695,8016,679,7.8     ,21632,11580,8682,50,77,20,350,873
538,"McIntosh County, Georgia",5949,5609,340,5.7     ,10975,7145,3192,38,43,0,70,487
539,"Macon County, Georgia",4614,4303,311,6.7     ,12082,4153,7164,32,156,8,322,247
540,"Madison County, Georgia",12972,12302,670,5.2     ,30120,23977,2769,82,529,7,1017,1739
541,"Marion County, Georgia",3192,3029,163,5.1     ,7498,4551,2150,24,55,16,347,355
542,"Meriwether County, Georgia",8816,8061,755,8.6     ,20613,12233,7286,64,78,6,213,733
543,"Miller County, Georgia",2772,2660,112,4.0     ,6000,3986,1751,10,31,3,55,164
544,"Mitchell County, Georgia",8289,7751,538,6.5     ,21755,10273,10114,45,108,0,619,596
545,"Monroe County, Georgia",12700,12050,650,5.1     ,27957,20122,6113,43,244,4,307,1124
546,"Montgomery County, Georgia",3891,3681,210,5.4     ,8610,5789,2133,25,39,2,324,298
