,county,labor_force,employed,unemployed,unemployed_pct,population,race_white,race_black,race_native,race_asian,race_islander,race_other,race_two_or_more
1331,"Livingston County, Michigan",99598,90819,8779,8.8     ,193866,178408,1144,620,1658,114,1435,10487
1332,"Luce County, Michigan",2257,2063,194,8.6     ,5339,4533,12,367,2,1,16,408
1333,"Mackinac County, Michigan",5003,4335,668,13.4     ,10834,8080,61,1699,28,2,62,902
1334,"Macomb County, Michigan",439510,386942,52568,12.0     ,881217,672264,109476,2225,38421,229,8825,49777
1335,"Manistee County, Michigan",10270,9164,1106,10.8     ,25032,22153,614,528,82,2,212,1441
1336,"Marquette County, Michigan",31758,29121,2637,8.3     ,66017,59551,805,1062,406,27,359,3807
1337,"Mason County, Michigan",13374,12142,1232,9.2     ,29052,26456,181,245,157,9,394,1610
1338,"Mecosta County, Michigan",18415,16740,1675,9.1     ,39714,35916,794,225,320,17,303,2139
1339,"Menominee County, Michigan",10694,10008,686,6.4     ,23502,21499,107,749,98,5,137,907
1340,"Midland County, Michigan",39706,36742,2964,7.5     ,83494,74791,963,343,1730,88,769,4810
1341,"Missaukee County, Michigan",6923,6291,632,9.1     ,15052,14086,33,71,46,1,199,616
1342,"Monroe County, Michigan",74397,67764,6633,8.9     ,154809,137561,4138,544,959,24,1921,9662
1343,"Montcalm County, Michigan",28133,25578,2555,9.1     ,66614,60106,2152,243,227,24,717,3145
1344,"Montmorency County, Michigan",3021,2624,397,13.1     ,9153,8619,18,68,24,0,48,376
1345,"Muskegon County, Michigan",77540,68681,8859,11.4     ,175824,133720,23908,1380,1103,40,3392,12281
1346,"Newaygo County, Michigan",23340,21319,2021,8.7     ,49978,44822,434,336,198,15,1121,3052
1347,"Oakland County, Michigan",648742,588572,60170,9.3     ,1274395,893318,170753,3356,105974,337,22479,78178
1348,"Oceana County, Michigan",12024,10783,1241,10.3     ,26659,22260,133,316,69,4,1687,2190
1349,"Ogemaw County, Michigan",8048,7167,881,10.9     ,20770,19509,63,123,57,8,118,892
1350,"Ontonagon County, Michigan",2053,1841,212,10.3     ,5816,5473,8,62,21,2,10,240
1351,"Osceola County, Michigan",11606,10641,965,8.3     ,22891,21414,165,150,34,6,115,1007
1352,"Oscoda County, Michigan",2910,2563,347,11.9     ,8219,7741,8,38,12,0,28,392
1353,"Otsego County, Michigan",11651,10455,1196,10.3     ,25091,23320,101,169,91,2,129,1279
1354,"Ottawa County, Michigan",158936,148077,10859,6.8     ,296200,248796,5462,1442,8088,109,11961,20342
1355,"Presque Isle County, Michigan",4951,4402,549,11.1     ,12982,12342,35,68,52,1,39,445
1356,"Roscommon County, Michigan",7835,6885,950,12.1     ,23459,22067,65,105,78,10,110,1024
1357,"Saginaw County, Michigan",84807,76397,8410,9.9     ,190124,133915,34615,818,2420,85,5579,12692
1358,"St. Clair County, Michigan",73897,65042,8855,12.0     ,160383,144476,3937,701,826,16,1482,8945
1359,"St. Joseph County, Michigan",29052,26418,2634,9.1     ,60939,51530,1367,277,414,9,3198,4144
1360,"Sanilac County, Michigan",19541,17641,1900,9.7     ,40611,37883,168,141,84,2,449,1884
1361,"Schoolcraft County, Michigan",3248,2934,314,9.7     ,8047,6756,10,703,15,1,9,553
1362,"Shiawassee County, Michigan",32859,29839,3020,9.2     ,68094,63132,325,263,297,22,499,3556
1363,"Tuscola County, Michigan",23739,21344,2395,10.1     ,53323,49413,413,200,157,15,452,2673
1364,"Van Buren County, Michigan",34835,31932,2903,8.3     ,75587,61345,2428,819,386,40,4397,6172
1365,"Washtenaw County, Michigan",193659,181294,12365,6.4     ,372258,257688,42819,1190,33632,201,7429,29299
1366,"Wayne County, Michigan",796974,686888,110086,13.8     ,1793561,882484,674782,7218,64947,433,52972,110725
