,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_household_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
52,"Grand Junction, CO",19.773999999999997,1170.0,115.7,254471,40,60777,42385,54544,28091,59787,28441,83587,2247,193802,2394,46585,1953,574,6888,28
53,"Hammond, LA",8.691,360.0,66.0,5751,19,-1,0,0,0,0,0,5751,87,3621,1851,90,18,0,84,0
54,"Harrisonburg, VA",26.418000000000003,1640.0,142.29999999999998,231763,26,32342,23009,33880,26978,64841,35350,48104,5061,160685,13902,44128,364,203,6916,504
55,"Hattiesburg, MS",15.849,960.0,124.9,9715,19,-1,0,7225,2485,0,0,0,365,4835,4285,160,0,0,70,0
56,"Huntsville, AL",126.94999999999999,29300.0,50.1,2127492,37,79072,221670,624168,403920,348354,145026,606024,68418,1481454,446184,66546,5454,558,54000,4878
57,"Idaho Falls, ID",33.798,2320.0,80.39999999999999,147126,34,68199,17946,26628,12210,41634,16032,50754,1350,117882,690,24870,534,366,1434,0
58,"Iowa City, IA",45.513999999999996,3930.0,76.0,184436,22,42223,8295,58079,56868,25144,7819,36505,7448,156485,4956,8799,259,931,5040,518
59,"Jackson, MI",25.125,1170.0,160.1,118140,37,43551,24690,11574,3066,42882,16416,44184,1428,94554,12264,6090,312,0,3492,0
60,"Jackson, MS",34.233999999999995,8610.0,111.1,624029,29,50904,118335,122766,91945,140945,80339,179158,4277,165053,440685,9177,567,413,3822,35
61,"Jackson, TN",13.709999999999997,870.0,154.4,369201,37,73257,39501,83433,46144,104482,26579,108542,5635,222033,113561,20426,98,0,7028,420
62,"Jacksonville, FL",47.538000000000004,32490.0,71.30000000000001,5013486,34,63748,639828,948000,431796,1415400,554694,1664220,241314,2585970,1570020,456888,7554,4908,134520,12312
63,"Jacksonville, NC",20.605000000000004,930.0,55.1,20576,21,41906,2200,2096,0,5964,1296,11212,212,12292,2580,3932,552,48,960,0
64,"Johnson City, TN",25.202000000000005,1880.0,88.69999999999999,223134,28,30781,31938,48648,35622,55842,17130,65868,5514,185178,15966,9744,588,42,6102,0
65,"Johnstown, PA",27.166999999999994,1270.0,132.0,23996,53,22661,8806,1631,1001,11200,5159,4991,168,17696,4494,658,14,0,924,42
66,"Jonesboro, AR",19.903,1090.0,95.3,134120,26,42287,6370,30525,20170,34375,8225,39415,2755,106930,16215,3410,205,0,4605,0
67,"Knoxville, TN",46.20700000000001,17400.0,74.8,2342508,35,65962,312081,511070,342076,604058,221417,663467,49749,1881922,240653,107051,5915,868,51660,4690
68,"Kokomo, IN",0.899,30.0,7.4,75675,40,59338,10746,9310,5197,28385,9319,23499,1036,64241,5780,2452,250,21,1751,144
69,"Lafayette, LA",16.191000000000003,3060.0,136.8,442582,34,73533,67690,97293,47215,120792,72877,104811,8988,227836,187103,11081,840,0,6370,364
70,"Lake Charles, LA",10.724,1090.0,149.9,436158,34,51332,92622,52728,22020,142518,82698,135870,3654,174636,228234,16422,1182,0,10716,1314
71,"Laredo, TX",11.866,1180.0,110.5,533970,31,47797,175842,53550,27582,142128,203400,107562,2964,15258,1254,513294,342,0,426,432
72,"Las Cruces, NM",41.357,2840.0,79.7,212170,37,82608,22911,54103,52402,35217,10605,59829,6097,107149,7658,84791,1330,112,4669,364
73,"Lawrence, KS",41.942,1870.0,139.20000000000002,698943,27,56276,64407,191702,174258,114996,32424,185703,38570,542178,29491,44359,16037,42,27244,1022
74,"Lawton, OK",36.02100000000001,1470.0,161.7,486976,34,56077,63588,58597,39319,160237,55846,172452,12432,250621,98112,65338,22435,1484,36078,476
75,"Lexington-Fayette, KY",38.805,10020.0,111.3,2212868,34,78831,294511,527604,391846,453656,217189,622524,78456,1588020,316645,154623,4802,1099,61978,7245
76,"Lima, OH",18.304,840.0,103.5,115930,36,51233,17620,8690,5910,43355,17040,40920,1000,87055,18885,3650,470,0,4570,300
77,"Lincoln, NE",68.663,11950.0,78.9,1883175,35,85750,208355,454216,259728,409612,134988,624435,84203,1527701,76496,134267,7896,1274,49672,1666
78,"Longview, TX",17.062,1580.0,101.8,268954,34,58389,49826,25641,13090,79968,61663,88592,2128,116228,78834,67018,560,0,3829,357
79,"Lubbock, TX",33.454,4720.0,67.39999999999999,1448020,28,55579,151116,314839,174888,330834,166467,460250,30688,856884,72338,453775,5201,1015,26880,1239
80,"Madison, WI",116.75000000000001,44650.0,93.9,404250,22,53107,27475,145852,136521,31402,16016,74431,35063,324604,11991,21273,714,147,10297,161
81,"Manchester, NH",56.771,6170.0,54.8,80364,40,76082,4386,16830,8286,23790,5634,25806,1728,70584,3192,3210,72,0,1272,306
82,"Manhattan, KS",39.083000000000006,1420.0,46.2,24346,19,-1,0,0,4060,0,0,20279,1407,19803,819,1169,35,91,1022,0
83,"Mansfield, OH",15.995000000000001,720.0,121.9,180115,37,32817,27625,16470,5270,77070,29815,51370,435,136590,27825,4300,340,0,10420,205
84,"Midland, MI",22.09,680.0,13.100000000000001,66674,40,76345,6000,14534,9000,18534,4332,20268,1272,60890,1314,1910,234,56,998,0
85,"Midland, TX",8.395999999999999,840.0,83.80000000000001,461080,31,92487,40760,78050,29520,117865,95035,140400,6205,181820,35585,231335,1005,0,4855,275
86,"Missoula, MT",40.898,2420.0,74.2,345695,33,69672,36995,100387,68264,57141,13902,106183,6440,308602,1918,11298,6608,0,10577,252
87,"Mobile, AL",35.504000000000005,6030.0,101.1,4274529,36,53808,681828,864066,490287,1158255,430500,1326507,87087,2309076,1660596,133224,4704,105,71589,8148
88,"Modesto, CA",16.492,2970.0,88.50000000000001,667380,37,70796,77532,96000,46932,178344,88782,257256,48630,358962,26652,202548,4026,6096,18624,1842
89,"Monroe, LA",11.066000000000003,800.0,85.30000000000001,129090,29,40641,15102,36996,21762,25470,10620,34230,1356,78702,44286,3132,390,0,1224,0
90,"Montgomery, AL",47.38900000000001,7350.0,69.3,2432409,35,55138,502089,365358,256851,713895,454608,642201,25935,862512,1418424,86835,2142,189,33789,2583
91,"Morristown, TN",4.153,180.0,15.9,37978,41,57853,4950,4491,2695,14692,6899,9229,526,30623,1436,4530,45,10,808,0
92,"Muncie, IN",40.401,1750.0,98.4,43325,28,16461,31895,1525,2035,31425,3435,4910,410,34800,4625,2275,75,40,925,175
93,"Muskegon, MI",12.608999999999998,700.0,110.2,4305,45,29466,1670,525,460,695,805,1800,0,2965,630,45,170,0,495,0
94,"Napa, CA",15.639999999999999,1080.0,99.3,168534,37,95743,10278,36066,16512,37242,25782,53088,3048,89298,1968,68826,450,408,4194,342
95,"New Bedford, MA",20.041999999999998,1200.0,163.70000000000002,306690,36,53012,61224,31788,14622,104418,85380,70272,2970,207798,12048,67104,60,0,5232,11478
96,"New Haven, CT",36.053000000000004,9730.0,59.6,264985,30,70651,66325,41342,49546,78225,43890,51912,8309,78610,93891,73941,1197,0,7679,1358
97,"Ocala, FL",13.357000000000001,1380.0,123.70000000000002,1044190,44,57141,154189,139321,80990,366821,135947,320740,16800,731829,148554,122577,1589,945,21175,721
98,"Ocean City, NJ",9.252,320.0,21.7,22656,53,99427,974,7068,3942,5096,1314,5210,414,19394,592,1844,18,0,394,0
99,"Odessa, TX",14.411,1070.0,140.3,506730,29,82504,41814,64632,26100,144240,110682,160932,4560,192060,25458,274554,1020,0,8604,474
100,"Oklahoma City, OK",46.413999999999994,28360.0,46.5,2253461,34,75671,379960,360262,186102,604618,458801,643559,98441,1074395,329091,574637,54628,1267,118573,2429
101,"Owensboro, KY",25.929999999999996,1230.0,182.5,503838,38,63691,65994,67668,43812,172248,57756,162072,7494,439836,25884,15996,972,0,12672,984
102,"Peoria, IL",44.354,7010.0,79.0,144950,30,50400,29905,21840,17400,38270,22630,44755,3935,79830,40510,12325,185,45,7165,955
103,"Pine Bluff, AR",10.354000000000001,300.0,28.5,59692,29,38231,15516,6684,3700,21008,9788,18564,200,5312,53228,684,232,0,36,0
104,"Pittsburgh, PA",61.160000000000004,65320.0,45.900000000000006,1171541,30,74715,169491,305459,329490,233982,74263,228284,93842,772702,234297,35217,1540,70,30541,3332
105,"Pocatello, ID",22.264,750.0,42.49999999999999,5855,20,13914,4830,865,1105,0,415,3465,390,3875,320,755,20,0,495,0
106,"Port St. Lucie, FL",16.775,2450.0,131.5,816004,44,73614,78043,119336,58856,250642,107443,280084,20608,450408,152621,172312,1106,0,18354,595
107,"Prescott, AZ",15.479,960.0,70.2,268464,52,30254,24972,51180,42780,47664,18036,108744,4788,230676,1008,22992,2136,0,6864,0
108,"Pueblo, CO",21.041999999999998,1260.0,101.99999999999999,540162,37,49025,100618,63588,39879,159257,75551,201614,3703,235900,10801,276073,3010,728,9184,763
