,istech,area_title,jobs_1000,tot_emp,emp_prse
0,0,"Abilene, TX",12.048519650655026,182230.0,18.251528384279474
1,1,"Abilene, TX",8.40925,4450.0,22.5
2,0,"Aguadilla-Isabela, PR",19.277742647058826,113760.0,17.231617647058822
3,1,"Aguadilla-Isabela, PR",14.907599999999999,3240.0,13.12
4,0,"Akron, OH",7.321090185676392,859710.0,19.45092838196288
5,1,"Akron, OH",6.404352941176471,33910.0,18.88235294117647
6,0,"Albany, GA",13.685161458333333,153970.0,18.69270833333334
7,1,"Albany, GA",10.04742857142857,4120.0,16.414285714285715
8,0,"Albany, OR",13.376715686274514,116610.0,16.93823529411764
9,1,"Albany, OR",8.753285714285713,2620.0,12.928571428571429
10,0,"Albany-Schenectady-Troy, NY",6.416154566744727,1151850.0,16.4807962529274
11,1,"Albany-Schenectady-Troy, NY",7.027894736842105,56160.0,17.926315789473684
12,0,"Albuquerque, NM",6.598983372921624,1040140.0,16.33159144893113
13,1,"Albuquerque, NM",6.331062499999998,37920.0,14.9
14,0,"Alexandria, LA",13.515039800995032,155190.0,18.862686567164182
15,1,"Alexandria, LA",12.72975,2900.0,17.975
16,0,"Allentown-Bethlehem-Easton, PA-NJ",7.083218274111672,959740.0,19.841116751269027
17,1,"Allentown-Bethlehem-Easton, PA-NJ",4.75761111111111,29440.0,17.105555555555554
18,0,"Altoona, PA",13.332639423076925,152060.0,21.491826923076935
19,1,"Altoona, PA",6.090272727272728,3670.0,20.145454545454545
20,0,"Amarillo, TX",10.519027777777776,299770.0,20.11349206349206
21,1,"Amarillo, TX",6.5245999999999995,7380.0,12.05
22,0,"Ames, IA",14.40655865921788,112150.0,17.626256983240225
23,1,"Ames, IA",12.974700000000002,5650.0,25.19
24,0,"Anchorage, AK",7.9073641618497135,450130.0,17.73439306358381
25,1,"Anchorage, AK",6.897937500000001,18150.0,14.69375
26,0,"Ann Arbor, MI",8.392640127388534,549080.0,18.909872611464966
27,1,"Ann Arbor, MI",5.698687500000001,19000.0,13.0125
28,0,"Anniston-Oxford-Jacksonville, AL",16.44876874999998,110380.0,16.29
29,1,"Anniston-Oxford-Jacksonville, AL",8.778333333333334,2210.0,11.733333333333333
30,0,"Appleton, WI",10.194231617647056,323140.0,20.386764705882364
31,1,"Appleton, WI",5.353562499999999,9970.0,14.1125
32,0,"Arecibo, PR",22.594745762711863,72460.0,13.454237288135603
33,1,"Arecibo, PR",13.915666666666667,1130.0,13.0
34,0,"Asheville, NC",8.20987610619469,512460.0,17.031858407079643
35,1,"Asheville, NC",5.040692307692306,12070.0,18.361538461538462
36,0,"Athens-Clarke County, GA",11.276108225108214,221000.0,16.436796536796543
37,1,"Athens-Clarke County, GA",5.01775,3390.0,16.3625
38,0,"Atlanta-Sandy Springs-Roswell, GA",4.968985185185188,7064680.0,17.27981481481483
39,1,"Atlanta-Sandy Springs-Roswell, GA",5.553588235294117,248570.0,11.57058823529412
40,0,"Atlantic City-Hammonton, NJ",11.141315573770488,301270.0,16.780327868852456
41,1,"Atlantic City-Hammonton, NJ",5.9437333333333315,9890.0,18.586666666666662
42,0,"Auburn-Opelika, AL",14.375824468085103,154310.0,18.988297872340432
43,1,"Auburn-Opelika, AL",8.33525,3810.0,13.274999999999999
44,0,"Augusta-Richmond County, GA-SC",8.01169653179191,617340.0,17.040462427745666
45,1,"Augusta-Richmond County, GA-SC",5.385687499999999,19180.0,16.3625
46,0,"Austin-Round Rock, TX",5.767673160173162,2809190.0,19.17597402597403
47,1,"Austin-Round Rock, TX",8.724133333333333,137980.0,14.386666666666665
48,0,"Bakersfield, CA",7.774444444444444,854740.0,19.47777777777778
49,1,"Bakersfield, CA",4.384799999999999,20080.0,15.833333333333334
