,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
288,0,"Urban Honolulu, HI",6.5565525672371665,1111440.0,15.922249388753064,259175,40,75665,22916,58212,33504,64193,33351,69828,141478,38576,3055,17431,163,22755,35479,238,Urban Honolulu, HI
289,1,"Urban Honolulu, HI",6.831437499999999,45310.0,13.15,259175,40,75665,22916,58212,33504,64193,33351,69828,141478,38576,3055,17431,163,22755,35479,238,Urban Honolulu, HI
290,0,"Valdosta, GA",13.920329842931935,137490.0,19.701570680628265,742,19,-1,0,0,0,0,0,742,7,306,356,25,0,12,36,0,Valdosta, GA
291,1,"Valdosta, GA",2.0435,630.0,23.53333333333333,742,19,-1,0,0,0,0,0,742,7,306,356,25,0,12,36,0,Valdosta, GA
292,0,"Victoria, TX",17.430714285714288,97810.0,22.47532467532467,70994,35,78681,9198,9670,4694,21684,12654,22288,967,28959,4538,35257,76,0,1034,163,Victoria, TX
293,1,"Victoria, TX",11.4254,2090.0,17.119999999999997,70994,35,78681,9198,9670,4694,21684,12654,22288,967,28959,4538,35257,76,0,1034,163,Victoria, TX
294,0,"Waco, TX",9.575479020979015,314750.0,19.650349650349646,27586,26,31517,7725,1934,1167,8500,6997,8997,212,6599,10350,10002,57,8,351,7,Waco, TX
295,1,"Waco, TX",6.083153846153847,9100.0,16.68461538461538,27586,26,31517,7725,1934,1167,8500,6997,8997,212,6599,10350,10002,57,8,351,7,Waco, TX
296,0,"Warner Robins, GA",12.59581220657278,194860.0,17.85633802816901,69518,34,78530,8823,12093,8289,18334,4897,25951,2684,40749,18197,5440,147,0,1941,360,Warner Robins, GA
297,1,"Warner Robins, GA",8.216818181818182,6570.0,18.38181818181818,69518,34,78530,8823,12093,8289,18334,4897,25951,2684,40749,18197,5440,147,0,1941,360,Warner Robins, GA
298,0,"Waterbury, CT",12.481847926267278,170190.0,20.13548387096774,80603,37,43669,18030,6584,3652,29117,18980,22290,2386,26320,15617,33398,12,41,2413,416,Waterbury, CT
299,1,"Waterbury, CT",2.3662222222222224,1320.0,18.011111111111106,80603,37,43669,18030,6584,3652,29117,18980,22290,2386,26320,15617,33398,12,41,2413,416,Waterbury, CT
300,0,"Wichita Falls, TX",12.812627450980393,142040.0,19.571568627450997,65896,31,56167,13248,9631,4039,19443,9759,22998,963,37908,8448,16154,403,26,1680,314,Wichita Falls, TX
301,1,"Wichita Falls, TX",9.774799999999999,2660.0,20.240000000000002,65896,31,56167,13248,9631,4039,19443,9759,22998,963,37908,8448,16154,403,26,1680,314,Wichita Falls, TX
