,istech,area_title,jobs_1000,tot_emp,emp_prse,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other,city,state_code
179,1,"Monroe, LA",5.5537,4010.0,19.33,21515,29,40641,2517,6166,3627,4245,1770,5705,226,13117,7381,522,65,0,204,0,Monroe, LA
180,0,"Montgomery, AL",8.995281045751627,426960.0,17.86045751633987,347487,35,55138,71727,52194,36693,101985,64944,91743,3705,123216,202632,12405,306,27,4827,369,Montgomery, AL
181,1,"Montgomery, AL",7.947857142857144,17260.0,11.535714285714286,347487,35,55138,71727,52194,36693,101985,64944,91743,3705,123216,202632,12405,306,27,4827,369,Montgomery, AL
182,0,"Morristown, TN",15.249556818181823,117230.0,19.027272727272727,37978,41,57853,4950,4491,2695,14692,6899,9229,526,30623,1436,4530,45,10,808,0,Morristown, TN
183,1,"Morristown, TN",9.5114,2080.0,25.46,37978,41,57853,4950,4491,2695,14692,6899,9229,526,30623,1436,4530,45,10,808,0,Morristown, TN
184,0,"Muncie, IN",15.397145454545454,110730.0,19.36787878787879,8665,28,16461,6379,305,407,6285,687,982,82,6960,925,455,15,8,185,35,Muncie, IN
185,1,"Muncie, IN",10.81322222222222,4240.0,21.45555555555556,8665,28,16461,6379,305,407,6285,687,982,82,6960,925,455,15,8,185,35,Muncie, IN
186,0,"Muskegon, MI",15.451609756097561,138140.0,20.068292682926813,861,45,29466,334,105,92,139,161,360,0,593,126,9,34,0,99,0,Muskegon, MI
187,1,"Muskegon, MI",7.294571428571429,2790.0,20.642857142857142,861,45,29466,334,105,92,139,161,360,0,593,126,9,34,0,99,0,Muskegon, MI
188,0,"Napa, CA",12.495294930875565,187480.0,20.062672811059905,28089,37,95743,1713,6011,2752,6207,4297,8848,508,14883,328,11471,75,68,699,57,Napa, CA
189,1,"Napa, CA",2.3267142857142855,1120.0,18.457142857142856,28089,37,95743,1713,6011,2752,6207,4297,8848,508,14883,328,11471,75,68,699,57,Napa, CA
190,0,"New Bedford, MA",14.41739037433155,160250.0,20.54171122994652,51115,36,53012,10204,5298,2437,17403,14230,11712,495,34633,2008,11184,10,0,872,1913,New Bedford, MA
191,1,"New Bedford, MA",9.524,4530.0,22.575,51115,36,53012,10204,5298,2437,17403,14230,11712,495,34633,2008,11184,10,0,872,1913,New Bedford, MA
192,0,"New Haven, CT",7.852052325581393,728610.0,19.197965116279082,37855,30,70651,9475,5906,7078,11175,6270,7416,1187,11230,13413,10563,171,0,1097,194,New Haven, CT
193,1,"New Haven, CT",2.780533333333334,11260.0,14.82666666666667,37855,30,70651,9475,5906,7078,11175,6270,7416,1187,11230,13413,10563,171,0,1097,194,New Haven, CT
194,0,"Ocala, FL",11.143346938775517,280990.0,20.031428571428567,149170,44,57141,22027,19903,11570,52403,19421,45820,2400,104547,21222,17511,227,135,3025,103,Ocala, FL
195,1,"Ocala, FL",5.0321,5190.0,14.55,149170,44,57141,22027,19903,11570,52403,19421,45820,2400,104547,21222,17511,227,135,3025,103,Ocala, FL
196,0,"Ocean City, NJ",19.462260869565224,93580.0,20.74710144927536,11328,53,99427,487,3534,1971,2548,657,2605,207,9697,296,922,9,0,197,0,Ocean City, NJ
197,1,"Ocean City, NJ",15.537,1620.0,10.266666666666666,11328,53,99427,487,3534,1971,2548,657,2605,207,9697,296,922,9,0,197,0,Ocean City, NJ
198,0,"Odessa, TX",13.44601477832513,201160.0,20.857635467980284,84455,29,82504,6969,10772,4350,24040,18447,26822,760,32010,4243,45759,170,0,1434,79,Odessa, TX
199,1,"Odessa, TX",8.269875,4880.0,24.2875,84455,29,82504,6969,10772,4350,24040,18447,26822,760,32010,4243,45759,170,0,1434,79,Odessa, TX
200,0,"Oklahoma City, OK",6.020686147186148,1699490.0,17.699134199134203,321923,34,75671,54280,51466,26586,86374,65543,91937,14063,153485,47013,82091,7804,181,16939,347,Oklahoma City, OK
201,1,"Oklahoma City, OK",5.984388888888887,65820.0,10.872222222222222,321923,34,75671,54280,51466,26586,86374,65543,91937,14063,153485,47013,82091,7804,181,16939,347,Oklahoma City, OK
202,0,"Owensboro, KY",14.812796610169498,124670.0,21.18418079096045,83973,38,63691,10999,11278,7302,28708,9626,27012,1249,73306,4314,2666,162,0,2112,164,Owensboro, KY
203,1,"Owensboro, KY",9.665428571428572,3210.0,27.085714285714285,83973,38,63691,10999,11278,7302,28708,9626,27012,1249,73306,4314,2666,162,0,2112,164,Owensboro, KY
204,0,"Peoria, IL",8.63997394136808,419390.0,19.42410423452769,28990,30,50400,5981,4368,3480,7654,4526,8951,787,15966,8102,2465,37,9,1433,191,Peoria, IL
205,1,"Peoria, IL",8.56607142857143,18960.0,16.90714285714286,28990,30,50400,5981,4368,3480,7654,4526,8951,787,15966,8102,2465,37,9,1433,191,Peoria, IL
206,0,"Pine Bluff, AR",19.080521739130432,74080.0,17.519565217391303,29846,29,38231,7758,3342,1850,10504,4894,9282,100,2656,26614,342,116,0,18,0,Pine Bluff, AR
207,1,"Pine Bluff, AR",19.232333333333333,1630.0,12.0,29846,29,38231,7758,3342,1850,10504,4894,9282,100,2656,26614,342,116,0,18,0,Pine Bluff, AR
208,0,"Pittsburgh, PA",5.498583333333333,2959940.0,19.14523809523807,167363,30,74715,24213,43637,47070,33426,10609,32612,13406,110386,33471,5031,220,10,4363,476,Pittsburgh, PA
209,1,"Pittsburgh, PA",4.014500000000002,77180.0,13.866666666666665,167363,30,74715,24213,43637,47070,33426,10609,32612,13406,110386,33471,5031,220,10,4363,476,Pittsburgh, PA
210,0,"Pocatello, ID",16.565432098765452,90140.0,20.09876543209877,1171,20,13914,966,173,221,0,83,693,78,775,64,151,4,0,99,0,Pocatello, ID
211,1,"Pocatello, ID",10.022874999999999,2700.0,10.387500000000001,1171,20,13914,966,173,221,0,83,693,78,775,64,151,4,0,99,0,Pocatello, ID
212,0,"Port St. Lucie, FL",9.896698581560285,408310.0,20.587234042553185,116572,44,73614,11149,17048,8408,35806,15349,40012,2944,64344,21803,24616,158,0,2622,85,Port St. Lucie, FL
213,1,"Port St. Lucie, FL",5.063076923076924,9630.0,24.03076923076923,116572,44,73614,11149,17048,8408,35806,15349,40012,2944,64344,21803,24616,158,0,2622,85,Port St. Lucie, FL
214,0,"Prescott, AZ",12.682801843317973,171260.0,18.696313364055296,44744,52,30254,4162,8530,7130,7944,3006,18124,798,38446,168,3832,356,0,1144,0,Prescott, AZ
215,1,"Prescott, AZ",7.606666666666666,4260.0,18.977777777777774,44744,52,30254,4162,8530,7130,7944,3006,18124,798,38446,168,3832,356,0,1144,0,Prescott, AZ
216,0,"Pueblo, CO",12.838175355450245,161150.0,15.947393364928907,77166,37,49025,14374,9084,5697,22751,10793,28802,529,33700,1543,39439,430,104,1312,109,Pueblo, CO
217,1,"Pueblo, CO",5.581300000000001,3320.0,19.830000000000002,77166,37,49025,14374,9084,5697,22751,10793,28802,529,33700,1543,39439,430,104,1312,109,Pueblo, CO
218,0,"Raleigh, NC",6.336433255269321,1680890.0,17.237939110070258,235986,36,100650,16120,84711,48049,31255,14778,57266,8105,152633,47210,22265,610,156,4480,527,Raleigh, NC
219,1,"Raleigh, NC",7.959133333333332,74170.0,11.026666666666667,235986,36,100650,16120,84711,48049,31255,14778,57266,8105,152633,47210,22265,610,156,4480,527,Raleigh, NC
220,0,"Redding, CA",12.039221238938055,174630.0,21.230973451327433,33697,38,66258,4178,4953,2358,8289,2999,15096,1816,25237,537,3624,734,0,1726,23,Redding, CA
221,1,"Redding, CA",8.438625,4330.0,21.487499999999997,33697,38,66258,4178,4953,2358,8289,2999,15096,1816,25237,537,3624,734,0,1726,23,Redding, CA
222,0,"Reno, NV",7.740354929577468,620130.0,18.28056338028168,105114,42,91939,6711,26026,18135,18553,7314,35037,6272,78539,1875,13413,713,819,3347,136,Reno, NV
223,1,"Reno, NV",6.538714285714285,20660.0,13.55714285714286,105114,42,91939,6711,26026,18135,18553,7314,35037,6272,78539,1875,13413,713,819,3347,136,Reno, NV
224,0,"Richmond, VA",6.218471783295711,1724120.0,18.509480812641076,92967,30,67778,18928,22737,13979,21262,13014,21890,2665,39741,39533,7813,150,26,2769,270,Richmond, VA
225,1,"Richmond, VA",4.575187500000001,45810.0,17.625,92967,30,67778,18928,22737,13979,21262,13014,21890,2665,39741,39533,7813,150,26,2769,270,Richmond, VA
226,0,"Roanoke, VA",8.640197530864198,404250.0,18.504012345679016,33030,35,72651,7452,3324,2053,11995,6268,9414,509,11268,18649,1210,73,171,1068,82,Roanoke, VA
227,1,"Roanoke, VA",5.216714285714285,10570.0,19.971428571428568,33030,35,72651,7452,3324,2053,11995,6268,9414,509,11268,18649,1210,73,171,1068,82,Roanoke, VA
228,0,"Rochester, MN",10.33411158798284,276830.0,21.840772532188826,124260,37,100515,7467,30898,25270,24059,7139,36885,8587,96886,8263,6692,225,20,3399,188,Rochester, MN
229,1,"Rochester, MN",5.397153846153846,8070.0,30.969230769230766,124260,37,100515,7467,30898,25270,24059,7139,36885,8587,96886,8263,6692,225,20,3399,188,Rochester, MN
230,0,"Rochester, NY",6.274908466819213,1303870.0,16.573455377574373,92786,29,39612,28878,13587,7795,25759,18059,27564,3354,29778,43424,13011,194,11,2770,244,Rochester, NY
231,1,"Rochester, NY",6.602333333333335,56520.0,12.649999999999999,92786,29,39612,28878,13587,7795,25759,18059,27564,3354,29778,43424,13011,194,11,2770,244,Rochester, NY
232,0,"Rockford, IL",9.899469750889686,374340.0,19.95978647686832,57991,33,44036,16152,3737,1871,20482,14354,17557,1467,22942,18317,13658,48,5,1504,50,Rockford, IL
233,1,"Rockford, IL",5.872866666666668,11850.0,18.513333333333332,57991,33,44036,16152,3737,1871,20482,14354,17557,1467,22942,18317,13658,48,5,1504,50,Rockford, IL
234,0,"Rocky Mount, NC",13.812446700507612,143680.0,17.725380710659895,20279,38,41707,5962,1358,851,7868,4096,6083,13,4527,15061,190,9,28,423,28,Rocky Mount, NC
235,1,"Rocky Mount, NC",8.8592,2350.0,21.5,20279,38,41707,5962,1358,851,7868,4096,6083,13,4527,15061,190,9,28,423,28,Rocky Mount, NC
236,0,"Rome, GA",15.506696202531643,89940.0,18.99620253164557,1876,20,87422,0,1016,808,0,26,26,21,1545,221,67,0,0,22,0,Rome, GA
237,1,"Rome, GA",3.151857142857143,800.0,23.442857142857143,1876,20,87422,0,1016,808,0,26,26,21,1545,221,67,0,0,22,0,Rome, GA
238,0,"Saginaw, MI",12.79834123222749,204600.0,20.70710900473933,43992,42,46401,8026,5418,3271,14075,5863,15401,502,26587,8994,6132,196,12,1502,67,Saginaw, MI
239,1,"Saginaw, MI",3.3696000000000006,2550.0,27.669999999999995,43992,42,46401,8026,5418,3271,14075,5863,15401,502,26587,8994,6132,196,12,1502,67,Saginaw, MI
240,0,"Salem, OR",7.992163793103448,464400.0,17.40574712643679,38493,40,76672,3117,9199,5773,7621,2232,13665,1031,31221,450,4162,186,252,1122,69,Salem, OR
241,1,"Salem, OR",6.391666666666667,16020.0,10.506666666666666,38493,40,76672,3117,9199,5773,7621,2232,13665,1031,31221,450,4162,186,252,1122,69,Salem, OR
242,0,"Salinas, CA",9.401700680272103,474040.0,22.345238095238102,88875,31,65783,16274,6724,2821,18550,43523,17252,2764,12007,505,72769,58,16,727,29,Salinas, CA
243,1,"Salinas, CA",5.014083333333334,10310.0,15.133333333333333,88875,31,65783,16274,6724,2821,18550,43523,17252,2764,12007,505,72769,58,16,727,29,Salinas, CA
244,0,"Salt Lake City, UT",5.664298538622128,1966890.0,16.60250521920668,80851,30,63585,7537,24727,20535,10981,4055,20509,4056,64180,1444,7543,1058,211,2035,324,Salt Lake City, UT
245,1,"Salt Lake City, UT",9.846166666666667,128460.0,11.700000000000001,80851,30,63585,7537,24727,20535,10981,4055,20509,4056,64180,1444,7543,1058,211,2035,324,Salt Lake City, UT
246,0,"San Angelo, TX",14.043333333333344,122610.0,21.010582010582013,82712,30,52120,7544,14882,6018,23163,12889,25771,902,42702,3719,34142,140,45,975,87,San Angelo, TX
247,1,"San Angelo, TX",7.5551,3500.0,16.729999999999997,82712,30,52120,7544,14882,6018,23163,12889,25771,902,42702,3719,34142,140,45,975,87,San Angelo, TX
248,0,"Santa Rosa, CA",8.086579411764694,532940.0,21.095294117647054,60223,40,93016,4565,11350,6667,11976,7177,23066,2659,35825,887,18098,330,374,1967,83,Santa Rosa, CA
249,1,"Santa Rosa, CA",2.386714285714286,6490.0,20.071428571428566,60223,40,93016,4565,11350,6667,11976,7177,23066,2659,35825,887,18098,330,374,1967,83,Santa Rosa, CA
250,0,"Savannah, GA",9.102927152317875,468680.0,19.82649006622517,20172,27,54609,5648,5022,3308,4054,2319,5446,591,9757,8277,1159,0,0,309,79,Savannah, GA
251,1,"Savannah, GA",5.308933333333335,13570.0,23.233333333333334,20172,27,54609,5648,5022,3308,4054,2319,5446,591,9757,8277,1159,0,0,309,79,Savannah, GA
252,0,"Sebring, FL",22.341504201680685,65290.0,20.430252100840338,31130,58,55038,2208,4197,2442,10561,3410,10523,741,25349,1324,3129,0,0,567,20,Sebring, FL
253,1,"Sebring, FL",15.225666666666667,1120.0,6.733333333333333,31130,58,55038,2208,4197,2442,10561,3410,10523,741,25349,1324,3129,0,0,567,20,Sebring, FL
254,0,"Sioux Falls, SD",8.562455384615385,427330.0,15.312615384615397,114076,25,48893,8242,25680,11833,30848,8388,37375,2284,94803,5310,6145,1833,41,3449,211,Sioux Falls, SD
255,1,"Sioux Falls, SD",6.273187500000001,15430.0,10.35,114076,25,48893,8242,25680,11833,30848,8388,37375,2284,94803,5310,6145,1833,41,3449,211,Sioux Falls, SD
256,0,"Spartanburg, SC",10.031657039711195,430670.0,17.822021660649817,16612,43,92713,1279,4169,3388,3471,1611,3953,719,12327,3024,382,51,13,83,13,Spartanburg, SC
257,1,"Spartanburg, SC",4.919714285714285,10670.0,17.25,16612,43,92713,1279,4169,3388,3471,1611,3953,719,12327,3024,382,51,13,83,13,Spartanburg, SC
258,0,"Springfield, IL",10.081062730627307,268930.0,18.792988929889304,18199,41,91064,596,5785,3919,3335,641,4514,1006,15802,682,344,12,11,316,26,Springfield, IL
