county,labor_force,employed,unemployed,unemployed_pct
"Lincoln County, ID",2667,2511,156,5.8     
"Madison County, ID",22306,21700,606,2.7     
"Minidoka County, ID",11642,11194,448,3.8     
"Nez Perce County, ID",20793,19780,1013,4.9     
"Oneida County, ID",2342,2244,98,4.2     
"Owyhee County, ID",5493,5166,327,6.0     
"Payette County, ID",11941,11309,632,5.3     
"Power County, ID",4132,3964,168,4.1     
"Shoshone County, ID",5444,4946,498,9.1     
"Teton County, ID",6632,6256,376,5.7     
"Twin Falls County, ID",41250,39083,2167,5.3     
"Valley County, ID",5643,5195,448,7.9     
"Washington County, ID",4752,4496,256,5.4     
"Adams County, IL",31259,29287,1972,6.3     
"Alexander County, IL",1918,1730,188,9.8     
"Bond County, IL",7484,6972,512,6.8     
"Boone County, IL",25580,22720,2860,11.2     
"Brown County, IL",2996,2881,115,3.8     
"Bureau County, IL",16363,15124,1239,7.6     
"Calhoun County, IL",2228,2059,169,7.6     
"Carroll County, IL",7376,6844,532,7.2     
"Cass County, IL",5813,5426,387,6.7     
"Champaign County, IL",108725,101732,6993,6.4     
"Christian County, IL",13598,12497,1101,8.1     
"Clark County, IL",7331,6752,579,7.9     
"Clay County, IL",6231,5646,585,9.4     
"Clinton County, IL",19796,18642,1154,5.8     
"Coles County, IL",23148,21432,1716,7.4     
"Cook County, IL",2539907,2258453,281454,11.1     
"Crawford County, IL",8472,7882,590,7.0     
"Cumberland County, IL",5944,5606,338,5.7     
"DeKalb County, IL",53031,48678,4353,8.2     
"De Witt County, IL",7120,6656,464,6.5     
"Douglas County, IL",10036,9474,562,5.6     
"DuPage County, IL",484215,445824,38391,7.9     
"Edgar County, IL",8899,8311,588,6.6     
"Edwards County, IL",2681,2462,219,8.2     
"Effingham County, IL",19265,17988,1277,6.6     
"Fayette County, IL",9700,8977,723,7.5     
"Ford County, IL",6236,5834,402,6.4     
"Franklin County, IL",15985,14299,1686,10.5     
"Fulton County, IL",14615,13364,1251,8.6     
"Gallatin County, IL",2032,1846,186,9.2     
"Greene County, IL",5904,5522,382,6.5     
"Grundy County, IL",24269,22138,2131,8.8     
"Hamilton County, IL",4225,3944,281,6.7     
"Hancock County, IL",8081,7521,560,6.9     
"Hardin County, IL",1289,1171,118,9.2     
"Henderson County, IL",3544,3298,246,6.9     
"Henry County, IL",23925,22061,1864,7.8     
"Iroquois County, IL",13582,12738,844,6.2     
"Jackson County, IL",27251,25146,2105,7.7     
"Jasper County, IL",4591,4315,276,6.0     
"Jefferson County, IL",16993,15279,1714,10.1     
"Jersey County, IL",10678,9883,795,7.4     
"Jo Daviess County, IL",10426,9560,866,8.3     
"Johnson County, IL",4098,3732,366,8.9     
"Kane County, IL",261649,237738,23911,9.1     
"Kankakee County, IL",53934,49164,4770,8.8     
"Kendall County, IL",66386,60839,5547,8.4     
"Knox County, IL",21110,19285,1825,8.6     
"Lake County, IL",364544,335133,29411,8.1     
"LaSalle County, IL",52663,47699,4964,9.4     
"Lawrence County, IL",5781,5276,505,8.7     
"Lee County, IL",17154,15982,1172,6.8     
"Livingston County, IL",15909,14840,1069,6.7     
"Logan County, IL",12122,11305,817,6.7     
"McDonough County, IL",12819,11908,911,7.1     
"McHenry County, IL",158406,145249,13157,8.3     
"McLean County, IL",85103,79341,5762,6.8     
"Macon County, IL",47177,42512,4665,9.9     
"Macoupin County, IL",22119,20596,1523,6.9     
"Madison County, IL",131452,121270,10182,7.7     
"Marion County, IL",17114,15523,1591,9.3     
"Marshall County, IL",5085,4710,375,7.4     
"Mason County, IL",5916,5440,476,8.0     
"Massac County, IL",5424,4883,541,10.0     
"Menard County, IL",6101,5710,391,6.4     
"Mercer County, IL",7689,7072,617,8.0     
"Monroe County, IL",18386,17363,1023,5.6     
"Montgomery County, IL",11453,10455,998,8.7     
"Morgan County, IL",15873,14784,1089,6.9     
"Moultrie County, IL",7292,6925,367,5.0     
"Ogle County, IL",24161,22199,1962,8.1     
"Peoria County, IL",83684,75016,8668,10.4     
"Perry County, IL",8093,7330,763,9.4     
"Piatt County, IL",8462,8009,453,5.4     
"Pike County, IL",6753,6348,405,6.0     
"Pope County, IL",1643,1513,130,7.9     
"Pulaski County, IL",1768,1562,206,11.7     
"Putnam County, IL",2942,2698,244,8.3     
"Randolph County, IL",13764,12786,978,7.1     
"Richland County, IL",7362,6864,498,6.8     
"Rock Island County, IL",68915,62443,6472,9.4     
"St. Clair County, IL",125155,113836,11319,9.0     
"Saline County, IL",9534,8605,929,9.7     
"Sangamon County, IL",96869,88916,7953,8.2     
"Schuyler County, IL",3126,2933,193,6.2     
"Scott County, IL",2349,2194,155,6.6     
"Shelby County, IL",10256,9596,660,6.4     
"Stark County, IL",2373,2200,173,7.3     
"Stephenson County, IL",21106,19560,1546,7.3     
"Tazewell County, IL",61977,56948,5029,8.1     
"Union County, IL",7192,6610,582,8.1     
"Vermilion County, IL",32542,29671,2871,8.8     
"Wabash County, IL",5718,5242,476,8.3     
"Warren County, IL",8085,7587,498,6.2     
"Washington County, IL",9576,9072,504,5.3     
"Wayne County, IL",6795,6230,565,8.3     
"White County, IL",6137,5671,466,7.6     
"Whiteside County, IL",27673,25461,2212,8.0     
"Will County, IL",344335,311763,32572,9.5     
"Williamson County, IL",31533,28794,2739,8.7     
"Winnebago County, IL",135759,120253,15506,11.4     
"Woodford County, IL",18012,16917,1095,6.1     
"Adams County, IN",16771,15836,935,5.6     
"Allen County, IN",184986,170783,14203,7.7     
"Bartholomew County, IN",43802,40975,2827,6.5     
"Benton County, IN",4268,4047,221,5.2     
"Blackford County, IN",4826,4442,384,8.0     
"Boone County, IN",35586,34064,1522,4.3     
"Brown County, IN",7568,7062,506,6.7     
"Carroll County, IN",9659,9076,583,6.0     
"Cass County, IN",17551,16360,1191,6.8     
"Clark County, IN",61138,56726,4412,7.2     
"Clay County, IN",11450,10689,761,6.6     
"Clinton County, IN",16825,15886,939,5.6     
"Crawford County, IN",4849,4506,343,7.1     
"Daviess County, IN",16523,15891,632,3.8     
"Dearborn County, IN",25224,23482,1742,6.9     
"Decatur County, IN",14928,13813,1115,7.5     
"DeKalb County, IN",22116,20591,1525,6.9     
"Delaware County, IN",52466,48633,3833,7.3     
"Dubois County, IN",22595,21569,1026,4.5     
"Elkhart County, IN",110494,102155,8339,7.5     
"Fayette County, IN",8543,7700,843,9.9     
"Floyd County, IN",41093,38422,2671,6.5     
"Fountain County, IN",7752,7247,505,6.5     
"Franklin County, IN",11270,10608,662,5.9     
"Fulton County, IN",9680,9040,640,6.6     
"Gibson County, IN",19537,18332,1205,6.2     
"Grant County, IN",31534,29538,1996,6.3     
"Greene County, IN",13264,12442,822,6.2     
"Hamilton County, IN",182979,174455,8524,4.7     
"Hancock County, IN",40363,38084,2279,5.6     
"Harrison County, IN",19874,18626,1248,6.3     
"Hendricks County, IN",89386,84885,4501,5.0     
"Henry County, IN",21866,20424,1442,6.6     
"Howard County, IN",36931,32921,4010,10.9     
"Huntington County, IN",18032,16846,1186,6.6     
"Jackson County, IN",23066,21416,1650,7.2     
"Jasper County, IN",15583,14490,1093,7.0     
"Jay County, IN",8801,8224,577,6.6     
"Jefferson County, IN",14965,13858,1107,7.4     
"Jennings County, IN",13582,12549,1033,7.6     
"Johnson County, IN",82335,77712,4623,5.6     
"Knox County, IN",18228,17148,1080,5.9     
"Kosciusko County, IN",41420,38879,2541,6.1     
"LaGrange County, IN",19178,17945,1233,6.4     
"Lake County, IN",225185,201989,23196,10.3     
"LaPorte County, IN",47444,42924,4520,9.5     
"Lawrence County, IN",20687,19252,1435,6.9     
"Madison County, IN",58758,54137,4621,7.9     
"Marion County, IN",495063,456145,38918,7.9     
"Marshall County, IN",22646,21190,1456,6.4     
"Martin County, IN",5410,5181,229,4.2     
"Miami County, IN",15009,13772,1237,8.2     
"Monroe County, IN",68155,64390,3765,5.5     
"Montgomery County, IN",18538,17580,958,5.2     
"Morgan County, IN",35605,33693,1912,5.4     
"Newton County, IN",6591,6139,452,6.9     
"Noble County, IN",22709,20804,1905,8.4     
"Ohio County, IN",3157,2924,233,7.4     
"Orange County, IN",8499,7558,941,11.1     
"Owen County, IN",9015,8447,568,6.3     
"Parke County, IN",6844,6468,376,5.5     
"Perry County, IN",9089,8495,594,6.5     
"Pike County, IN",6144,5782,362,5.9     
"Porter County, IN",83987,77220,6767,8.1     
"Posey County, IN",12834,12202,632,4.9     
"Pulaski County, IN",6395,6007,388,6.1     
"Putnam County, IN",16336,15318,1018,6.2     
"Randolph County, IN",11191,10456,735,6.6     
"Ripley County, IN",13875,12991,884,6.4     
"Rush County, IN",8738,8191,547,6.3     
"St. Joseph County, IN",133385,122197,11188,8.4     
"Scott County, IN",10484,9606,878,8.4     
"Shelby County, IN",23086,21443,1643,7.1     
"Spencer County, IN",10333,9754,579,5.6     
"Starke County, IN",9730,8947,783,8.0     
"Steuben County, IN",19915,18673,1242,6.2     
"Sullivan County, IN",7903,7352,551,7.0     
"Switzerland County, IN",4782,4394,388,8.1     
"Tippecanoe County, IN",94147,88211,5936,6.3     
"Tipton County, IN",9019,8465,554,6.1     
"Union County, IN",3443,3254,189,5.5     
"Vanderburgh County, IN",91573,85014,6559,7.2     
"Vermillion County, IN",6590,6094,496,7.5     
"Vigo County, IN",45814,42198,3616,7.9     
"Wabash County, IN",14499,13615,884,6.1     
"Warren County, IN",4001,3785,216,5.4     
"Warrick County, IN",31654,29930,1724,5.4     
"Washington County, IN",13465,12533,932,6.9     
"Wayne County, IN",29989,27951,2038,6.8     
"Wells County, IN",14006,13211,795,5.7     
"White County, IN",13254,12586,668,5.0     
"Whitley County, IN",17155,16139,1016,5.9     
"Adair County, IA",4179,4013,166,4.0     
"Adams County, IA",2029,1952,77,3.8     
"Allamakee County, IA",7034,6675,359,5.1     
"Appanoose County, IA",5914,5601,313,5.3     
"Audubon County, IA",3011,2908,103,3.4     
"Benton County, IA",12924,12272,652,5.0     
"Black Hawk County, IA",67318,63173,4145,6.2     
"Boone County, IA",14468,13880,588,4.1     
"Bremer County, IA",13500,12967,533,3.9     
"Buchanan County, IA",11095,10588,507,4.6     
"Buena Vista County, IA",11643,11217,426,3.7     
"Butler County, IA",7675,7317,358,4.7     
"Calhoun County, IA",4096,3928,168,4.1     
"Carroll County, IA",10546,10129,417,4.0     
"Cass County, IA",6752,6489,263,3.9     
"Cedar County, IA",10368,9915,453,4.4     
"Cerro Gordo County, IA",23096,21893,1203,5.2     
"Cherokee County, IA",6192,5958,234,3.8     
"Chickasaw County, IA",6271,5976,295,4.7     
"Clarke County, IA",4761,4504,257,5.4     
"Clay County, IA",8336,7958,378,4.5     
"Clayton County, IA",9703,9150,553,5.7     
"Clinton County, IA",21989,20509,1480,6.7     
"Crawford County, IA",7931,7515,416,5.2     
"Dallas County, IA",49406,47621,1785,3.6     
"Davis County, IA",4108,3943,165,4.0     
"Decatur County, IA",4266,4104,162,3.8     
"Delaware County, IA",10381,9969,412,4.0     
"Des Moines County, IA",18609,17222,1387,7.5     
"Dickinson County, IA",9752,9255,497,5.1     
"Dubuque County, IA",54877,51666,3211,5.9     
"Emmet County, IA",5047,4797,250,5.0     
"Fayette County, IA",10299,9735,564,5.5     
"Floyd County, IA",8250,7751,499,6.0     
"Franklin County, IA",5597,5385,212,3.8     
"Fremont County, IA",3712,3597,115,3.1     
"Greene County, IA",5333,5107,226,4.2     
"Grundy County, IA",6273,5999,274,4.4     
"Guthrie County, IA",5409,5140,269,5.0     
"Hamilton County, IA",6779,6480,299,4.4     
"Hancock County, IA",5764,5495,269,4.7     
"Hardin County, IA",7767,7407,360,4.6     
"Harrison County, IA",7060,6776,284,4.0     
"Henry County, IA",9564,9060,504,5.3     
"Howard County, IA",5070,4844,226,4.5     
"Humboldt County, IA",4939,4730,209,4.2     
"Ida County, IA",3966,3824,142,3.6     
"Iowa County, IA",10009,9565,444,4.4     
"Jackson County, IA",10622,9975,647,6.1     
"Jasper County, IA",19177,18157,1020,5.3     
"Jefferson County, IA",9487,8948,539,5.7     
"Johnson County, IA",84088,80056,4032,4.8     
"Jones County, IA",10253,9669,584,5.7     
"Keokuk County, IA",5151,4897,254,4.9     
"Kossuth County, IA",8087,7779,308,3.8     
"Lee County, IA",15693,14666,1027,6.5     
"Linn County, IA",118853,111300,7553,6.4     
"Louisa County, IA",5916,5623,293,5.0     
"Lucas County, IA",4644,4475,169,3.6     
"Lyon County, IA",6823,6652,171,2.5     
"Madison County, IA",8347,7868,479,5.7     
"Mahaska County, IA",11798,11237,561,4.8     
"Marion County, IA",17933,17182,751,4.2     
"Marshall County, IA",17514,16278,1236,7.1     
"Mills County, IA",7150,6869,281,3.9     
"Mitchell County, IA",6061,5856,205,3.4     
"Monona County, IA",4347,4139,208,4.8     
"Monroe County, IA",3938,3734,204,5.2     
"Montgomery County, IA",4847,4621,226,4.7     
"Muscatine County, IA",21053,19796,1257,6.0     
"O'Brien County, IA",8058,7786,272,3.4     
"Osceola County, IA",3498,3397,101,2.9     
"Page County, IA",6186,5878,308,5.0     
"Palo Alto County, IA",4540,4330,210,4.6     
"Plymouth County, IA",14284,13770,514,3.6     
"Pocahontas County, IA",4220,4072,148,3.5     
"Polk County, IA",264807,248931,15876,6.0     
"Pottawattamie County, IA",47249,44771,2478,5.2     
"Poweshiek County, IA",9727,9247,480,4.9     
"Ringgold County, IA",2377,2285,92,3.9     
"Sac County, IA",5167,4986,181,3.5     
"Scott County, IA",86403,80541,5862,6.8     
"Shelby County, IA",6318,6090,228,3.6     
"Sioux County, IA",20757,20199,558,2.7     
"Story County, IA",56458,54422,2036,3.6     
"Tama County, IA",9225,8753,472,5.1     
"Taylor County, IA",3064,2952,112,3.7     
"Union County, IA",6147,5786,361,5.9     
"Van Buren County, IA",3667,3497,170,4.6     
"Wapello County, IA",17328,16293,1035,6.0     
"Warren County, IA",27577,26321,1256,4.6     
"Washington County, IA",11490,11021,469,4.1     
"Wayne County, IA",2783,2658,125,4.5     
"Webster County, IA",18615,17638,977,5.2     
"Winnebago County, IA",5025,4703,322,6.4     
"Winneshiek County, IA",11095,10550,545,4.9     
"Woodbury County, IA",54467,51606,2861,5.3     
"Worth County, IA",4082,3861,221,5.4     
"Wright County, IA",6960,6684,276,4.0     
"Allen County, KS",6392,6045,347,5.4     
"Anderson County, KS",4250,4075,175,4.1     
"Atchison County, KS",6856,6385,471,6.9     
"Barber County, KS",2324,2246,78,3.4     
"Barton County, KS",13680,13046,634,4.6     
"Bourbon County, KS",6747,6367,380,5.6     
"Brown County, KS",5153,4923,230,4.5     
"Butler County, KS",32533,30403,2130,6.5     
"Chase County, KS",1465,1384,81,5.5     
"Chautauqua County, KS",1482,1392,90,6.1     
"Cherokee County, KS",10016,9494,522,5.2     
"Cheyenne County, KS",1314,1285,29,2.2     
"Clark County, KS",1145,1122,23,2.0     
"Clay County, KS",3807,3636,171,4.5     
"Cloud County, KS",3865,3708,157,4.1     
"Coffey County, KS",3901,3697,204,5.2     
"Comanche County, KS",860,830,30,3.5     
"Cowley County, KS",16807,15709,1098,6.5     
"Crawford County, KS",18947,17901,1046,5.5     
"Decatur County, KS",1241,1195,46,3.7     
"Dickinson County, KS",8873,8442,431,4.9     
"Doniphan County, KS",4153,3965,188,4.5     
"Douglas County, KS",64225,60337,3888,6.1     
"Edwards County, KS",1465,1421,44,3.0     
"Elk County, KS",1171,1115,56,4.8     
"Ellis County, KS",16920,16328,592,3.5     
"Ellsworth County, KS",2725,2636,89,3.3     
"Finney County, KS",20618,19906,712,3.5     
"Ford County, KS",17224,16640,584,3.4     
"Franklin County, KS",14228,13459,769,5.4     
"Geary County, KS",11652,10852,800,6.9     
"Gove County, KS",1465,1423,42,2.9     
"Graham County, KS",1126,1074,52,4.6     
"Grant County, KS",3097,2970,127,4.1     
"Gray County, KS",3244,3172,72,2.2     
"Greeley County, KS",825,810,15,1.8     
"Greenwood County, KS",3129,2965,164,5.2     
"Hamilton County, KS",1633,1605,28,1.7     
"Harper County, KS",2792,2668,124,4.4     
"Harvey County, KS",16930,16030,900,5.3     
"Haskell County, KS",2250,2197,53,2.4     
"Hodgeman County, KS",1008,981,27,2.7     
"Jackson County, KS",7213,6820,393,5.4     
"Jefferson County, KS",10207,9708,499,4.9     
"Jewell County, KS",1249,1210,39,3.1     
"Johnson County, KS",342146,324544,17602,5.1     
"Kearny County, KS",2035,1980,55,2.7     
"Kingman County, KS",3343,3169,174,5.2     
"Kiowa County, KS",1256,1215,41,3.3     
"Labette County, KS",9667,9123,544,5.6     
"Lane County, KS",755,733,22,2.9     
"Leavenworth County, KS",36746,34611,2135,5.8     
"Lincoln County, KS",1705,1655,50,2.9     
"Linn County, KS",4379,4073,306,7.0     
"Logan County, KS",1614,1573,41,2.5     
"Lyon County, KS",16598,15808,790,4.8     
"McPherson County, KS",17211,16612,599,3.5     
"Marion County, KS",5913,5668,245,4.1     
"Marshall County, KS",5504,5331,173,3.1     
"Meade County, KS",2150,2090,60,2.8     
"Miami County, KS",17681,16793,888,5.0     
"Mitchell County, KS",3429,3335,94,2.7     
"Montgomery County, KS",14852,13774,1078,7.3     
"Morris County, KS",3079,2958,121,3.9     
"Morton County, KS",1139,1105,34,3.0     
"Nemaha County, KS",5596,5430,166,3.0     
"Neosho County, KS",6246,5845,401,6.4     
"Ness County, KS",1334,1288,46,3.4     
"Norton County, KS",2644,2573,71,2.7     
"Osage County, KS",8009,7600,409,5.1     
"Osborne County, KS",1965,1908,57,2.9     
"Ottawa County, KS",2978,2851,127,4.3     
"Pawnee County, KS",2846,2739,107,3.8     
"Phillips County, KS",2651,2560,91,3.4     
"Pottawatomie County, KS",11981,11461,520,4.3     
"Pratt County, KS",4926,4748,178,3.6     
"Rawlins County, KS",1547,1508,39,2.5     
"Reno County, KS",29626,27997,1629,5.5     
"Republic County, KS",2318,2241,77,3.3     
"Rice County, KS",5080,4865,215,4.2     
"Riley County, KS",34049,32361,1688,5.0     
"Rooks County, KS",2509,2408,101,4.0     
"Rush County, KS",1576,1503,73,4.6     
"Russell County, KS",3317,3177,140,4.2     
"Saline County, KS",29511,27893,1618,5.5     
"Scott County, KS",2826,2754,72,2.5     
"Sedgwick County, KS",257217,234769,22448,8.7     
"Seward County, KS",9816,9386,430,4.4     
"Shawnee County, KS",91343,85910,5433,5.9     
"Sheridan County, KS",1462,1429,33,2.3     
"Sherman County, KS",2894,2795,99,3.4     
"Smith County, KS",1996,1943,53,2.7     
"Stafford County, KS",2043,1967,76,3.7     
"Stanton County, KS",1080,1054,26,2.4     
"Stevens County, KS",2807,2727,80,2.9     
"Sumner County, KS",11017,10126,891,8.1     
"Thomas County, KS",4230,4108,122,2.9     
"Trego County, KS",1470,1419,51,3.5     
"Wabaunsee County, KS",3677,3522,155,4.2     
"Wallace County, KS",825,807,18,2.2     
"Washington County, KS",3062,2986,76,2.5     
"Wichita County, KS",1258,1232,26,2.1     
"Wilson County, KS",3913,3609,304,7.8     
"Woodson County, KS",1567,1474,93,5.9     
"Wyandotte County, KS",78392,72303,6089,7.8     
"Adair County, KY",6961,6460,501,7.2     
"Allen County, KY",8732,8256,476,5.5     
"Anderson County, KY",11752,11034,718,6.1     
"Ballard County, KY",3356,3134,222,6.6     
"Barren County, KY",18195,16829,1366,7.5     
"Bath County, KY",4561,4182,379,8.3     
"Bell County, KY",8248,7606,642,7.8     
"Boone County, KY",70071,66280,3791,5.4     
"Bourbon County, KY",9577,9016,561,5.9     
"Boyd County, KY",17551,16086,1465,8.3     
"Boyle County, KY",12540,11618,922,7.4     
"Bracken County, KY",3744,3511,233,6.2     
"Breathitt County, KY",3285,2949,336,10.2     
"Breckinridge County, KY",7846,7274,572,7.3     
"Bullitt County, KY",42031,39359,2672,6.4     
"Butler County, KY",4961,4619,342,6.9     
"Caldwell County, KY",5570,5224,346,6.2     
"Calloway County, KY",17865,16752,1113,6.2     
"Campbell County, KY",49647,46886,2761,5.6     
"Carlisle County, KY",2168,2066,102,4.7     
"Carroll County, KY",5289,4978,311,5.9     
"Carter County, KY",9586,8663,923,9.6     
"Casey County, KY",6666,6250,416,6.2     
"Christian County, KY",24587,22662,1925,7.8     
"Clark County, KY",17006,15891,1115,6.6     
"Clay County, KY",5199,4751,448,8.6     
"Clinton County, KY",3978,3776,202,5.1     
"Crittenden County, KY",3663,3460,203,5.5     
"Cumberland County, KY",3271,3112,159,4.9     
"Daviess County, KY",45710,42911,2799,6.1     
"Edmonson County, KY",4599,4247,352,7.7     
"Elliott County, KY",1967,1769,198,10.1     
"Estill County, KY",5153,4766,387,7.5     
"Fayette County, KY",172284,162405,9879,5.7     
"Fleming County, KY",6135,5686,449,7.3     
"Floyd County, KY",10688,9705,983,9.2     
"Franklin County, KY",24745,23117,1628,6.6     
"Fulton County, KY",1983,1854,129,6.5     
"Gallatin County, KY",4012,3771,241,6.0     
"Garrard County, KY",7528,7055,473,6.3     
"Grant County, KY",11525,10707,818,7.1     
"Graves County, KY",15631,14701,930,5.9     
"Grayson County, KY",10704,9873,831,7.8     
"Green County, KY",5142,4866,276,5.4     
"Greenup County, KY",13238,12064,1174,8.9     
"Hancock County, KY",3808,3575,233,6.1     
"Hardin County, KY",47581,44196,3385,7.1     
"Harlan County, KY",6548,5768,780,11.9     
"Harrison County, KY",8712,8177,535,6.1     
"Hart County, KY",7694,7198,496,6.4     
"Henderson County, KY",20921,19643,1278,6.1     
"Henry County, KY",8071,7611,460,5.7     
"Hickman County, KY",1720,1625,95,5.5     
"Hopkins County, KY",18149,16815,1334,7.4     
"Jackson County, KY",4051,3700,351,8.7     
"Jefferson County, KY",390487,363770,26717,6.8     
"Jessamine County, KY",26160,24689,1471,5.6     
"Johnson County, KY",6589,6016,573,8.7     
"Kenton County, KY",86062,81077,4985,5.8     
"Knott County, KY",4350,3979,371,8.5     
"Knox County, KY",9962,9143,819,8.2     
"Larue County, KY",5838,5417,421,7.2     
"Laurel County, KY",24857,23130,1727,6.9     
"Lawrence County, KY",5217,4784,433,8.3     
"Lee County, KY",2047,1904,143,7.0     
"Leslie County, KY",2628,2344,284,10.8     
"Letcher County, KY",6111,5488,623,10.2     
"Lewis County, KY",4648,4205,443,9.5     
"Lincoln County, KY",9317,8578,739,7.9     
"Livingston County, KY",3534,3268,266,7.5     
"Logan County, KY",12136,11466,670,5.5     
"Lyon County, KY",3095,2931,164,5.3     
"McCracken County, KY",28486,26435,2051,7.2     
"McCreary County, KY",4807,4457,350,7.3     
"McLean County, KY",4023,3796,227,5.6     
"Madison County, KY",45855,43091,2764,6.0     
"Magoffin County, KY",3208,2692,516,16.1     
"Marion County, KY",9233,8515,718,7.8     
"Marshall County, KY",14831,13919,912,6.1     
"Martin County, KY",2498,2208,290,11.6     
"Mason County, KY",6909,6358,551,8.0     
"Meade County, KY",11749,10913,836,7.1     
"Menifee County, KY",2256,2055,201,8.9     
"Mercer County, KY",9907,9187,720,7.3     
"Metcalfe County, KY",4017,3704,313,7.8     
"Monroe County, KY",4564,4318,246,5.4     
"Montgomery County, KY",11355,10450,905,8.0     
"Morgan County, KY",4352,4052,300,6.9     
"Muhlenberg County, KY",10004,9138,866,8.7     
"Nelson County, KY",22755,21185,1570,6.9     
"Nicholas County, KY",3275,3053,222,6.8     
"Ohio County, KY",9289,8620,669,7.2     
"Oldham County, KY",32438,30867,1571,4.8     
"Owen County, KY",5082,4757,325,6.4     
"Owsley County, KY",1061,982,79,7.4     
"Pendleton County, KY",6803,6447,356,5.2     
"Perry County, KY",8181,7453,728,8.9     
"Pike County, KY",19196,17574,1622,8.4     
"Powell County, KY",5070,4698,372,7.3     
"Pulaski County, KY",25795,23907,1888,7.3     
"Robertson County, KY",788,740,48,6.1     
"Rockcastle County, KY",6428,5971,457,7.1     
"Rowan County, KY",9932,9191,741,7.5     
"Russell County, KY",6085,5586,499,8.2     
"Scott County, KY",29378,27523,1855,6.3     
"Shelby County, KY",25191,23817,1374,5.5     
"Simpson County, KY",8596,7979,617,7.2     
"Spencer County, KY",10254,9662,592,5.8     
"Taylor County, KY",12935,12160,775,6.0     
"Todd County, KY",5391,5131,260,4.8     
"Trigg County, KY",6030,5611,419,6.9     
"Trimble County, KY",3789,3533,256,6.8     
"Union County, KY",5939,5562,377,6.3     
"Warren County, KY",63256,59108,4148,6.6     
"Washington County, KY",6099,5718,381,6.2     
"Wayne County, KY",7370,6888,482,6.5     
"Webster County, KY",5424,5077,347,6.4     
"Whitley County, KY",13784,12801,983,7.1     
"Wolfe County, KY",2059,1901,158,7.7     
"Woodford County, KY",14929,14182,747,5.0     
"Acadia Parish, LA",23463,21758,1705,7.3     
"Allen Parish, LA",8460,7682,778,9.2     
"Ascension Parish, LA",64136,59807,4329,6.7     
"Assumption Parish, LA",8822,7929,893,10.1     
"Avoyelles Parish, LA",15048,13846,1202,8.0     
"Beauregard Parish, LA",14405,13444,961,6.7     
"Bienville Parish, LA",5417,4999,418,7.7     
"Bossier Parish, LA",56750,53138,3612,6.4     
"Caddo Parish, LA",102615,93384,9231,9.0     
"Calcasieu Parish, LA",98110,89236,8874,9.0     
"Caldwell Parish, LA",3670,3403,267,7.3     
"Cameron Parish, LA",3520,3318,202,5.7     
"Catahoula Parish, LA",3495,3248,247,7.1     
"Claiborne Parish, LA",5495,5133,362,6.6     
"Concordia Parish, LA",6949,6385,564,8.1     
"De Soto Parish, LA",10623,9852,771,7.3     
"East Baton Rouge Parish, LA",228974,211197,17777,7.8     
"East Carroll Parish, LA",1824,1610,214,11.7     
"East Feliciana Parish, LA",7762,7244,518,6.7     
"Evangeline Parish, LA",11933,11013,920,7.7     
"Franklin Parish, LA",7380,6783,597,8.1     
"Grant Parish, LA",8168,7635,533,6.5     
"Iberia Parish, LA",27907,25284,2623,9.4     
"Iberville Parish, LA",13975,12601,1374,9.8     
"Jackson Parish, LA",6738,6378,360,5.3     
"Jefferson Parish, LA",211563,191934,19629,9.3     
"Jefferson Davis Parish, LA",12827,11863,964,7.5     
"Lafayette Parish, LA",113811,105742,8069,7.1     
"Lafourche Parish, LA",41475,38786,2689,6.5     
"LaSalle Parish, LA",6912,6584,328,4.7     
"Lincoln Parish, LA",20927,19613,1314,6.3     
"Livingston Parish, LA",68265,63874,4391,6.4     
"Madison Parish, LA",3573,3272,301,8.4     
"Morehouse Parish, LA",10096,9102,994,9.8     
"Natchitoches Parish, LA",16129,15028,1101,6.8     
"Orleans Parish, LA",181868,159734,22134,12.2     
"Ouachita Parish, LA",69823,64663,5160,7.4     
"Plaquemines Parish, LA",9649,8971,678,7.0     
"Pointe Coupee Parish, LA",9638,8888,750,7.8     
"Rapides Parish, LA",55157,51714,3443,6.2     
"Red River Parish, LA",3612,3389,223,6.2     
"Richland Parish, LA",8139,7518,621,7.6     
"Sabine Parish, LA",9236,8730,506,5.5     
"St. Bernard Parish, LA",20022,17984,2038,10.2     
"St. Charles Parish, LA",24644,22715,1929,7.8     
"St. Helena Parish, LA",4299,3805,494,11.5     
"St. James Parish, LA",9058,8176,882,9.7     
"St. John the Baptist Parish, LA",19473,17294,2179,11.2     
"St. Landry Parish, LA",32418,29611,2807,8.7     
"St. Martin Parish, LA",22057,20268,1789,8.1     
"St. Mary Parish, LA",19516,17722,1794,9.2     
"St. Tammany Parish, LA",116466,108590,7876,6.8     
"Tangipahoa Parish, LA",56389,51012,5377,9.5     
"Tensas Parish, LA",1359,1245,114,8.4     
"Terrebonne Parish, LA",46224,42663,3561,7.7     
"Union Parish, LA",8970,8330,640,7.1     
"Vermilion Parish, LA",23746,21993,1753,7.4     
"Vernon Parish, LA",15795,14677,1118,7.1     
"Washington Parish, LA",16660,15299,1361,8.2     
"Webster Parish, LA",14088,12977,1111,7.9     
"West Baton Rouge Parish, LA",13502,12530,972,7.2     
"West Carroll Parish, LA",3637,3270,367,10.1     
