,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
115,1,"El Centro, CA",2720,57410,37,"El Centro, CA",72728,31,79244,11477,7882,4371,16035,19939,24446,1374,9032,2234,58972,189,58,800,69
117,1,"El Paso, TX",16540,303100,25,"El Paso, TX",672806,31,54137,125448,103559,50738,162689,151142,204567,7868,92324,20777,542460,2118,537,6313,409
119,1,"Elmira, NY",1380,31750,28,"Elmira, NY",49250,40,62022,9029,5661,4676,18351,5892,14665,314,40537,4339,1798,357,7,1834,64
121,1,"Enid, OK",1350,22980,24,"Enid, OK",56420,33,46639,6140,8023,4553,20218,7055,16538,480,41992,1891,6994,1001,1753,2293,16
123,1,"Erie, PA",6310,114070,44,"Erie, PA",143650,36,46633,22484,25627,13234,54860,16062,33820,3072,112712,15136,7953,411,27,3925,414
125,1,"Eugene, OR",11480,147680,48,"Eugene, OR",237189,35,70104,25657,49737,36336,48221,17252,85735,8127,190974,3372,21287,1734,684,10499,512
127,1,"Fairbanks, AK",2340,30920,8,"Fairbanks, AK",283536,31,90240,13314,59055,33090,61983,15507,113877,8184,201483,11514,21639,18273,1287,20814,342
129,1,"Farmington, NM",1900,43090,66,"Farmington, NM",28973,42,73182,2393,3071,2161,9007,3407,11333,155,19392,160,6486,2067,63,622,28
131,1,"Fayetteville, NC",7030,122690,24,"Fayetteville, NC",295591,31,57940,44365,48364,24830,74581,26514,121377,7633,126804,108439,34892,2743,776,13557,747
133,1,"Flagstaff, AZ",3930,52160,22,"Flagstaff, AZ",178952,27,56175,14778,44064,34302,26008,10780,63856,4288,118828,3024,32190,14606,286,5412,318
135,1,"Flint, MI",6000,121480,36,"Flint, MI",166495,35,42213,48463,14132,7063,59095,24182,61910,887,83796,67665,6374,1040,26,6490,217
137,1,"Florence, SC",4600,83790,46,"Florence, SC",100962,38,64248,12700,16489,9179,31903,13051,30360,1550,54139,41143,2354,148,74,1472,82
139,1,"Fond du Lac, WI",2890,38170,47,"Fond du Lac, WI",61357,40,73212,4500,10617,4402,21674,4837,19700,1168,53463,1091,3962,364,0,1224,85
141,1,"Fort Collins, CO",5300,150100,39,"Fort Collins, CO",135914,29,78648,8285,42284,29745,21179,4611,38005,3696,111278,2016,15004,768,109,2965,78
143,1,"Fort Wayne, IN",13110,205550,39,"Fort Wayne, IN",333391,35,65033,41762,59301,31398,96910,36486,109210,12762,241712,41177,25667,589,126,10786,572
145,1,"Fresno, CA",19310,376220,27,"Fresno, CA",716825,32,68267,150676,104076,53879,159888,160377,238584,88642,238685,43470,324689,3153,1182,15570,1434
147,1,"Gadsden, AL",1230,31730,5,"Gadsden, AL",237057,41,54095,36708,24138,16218,76968,41580,77946,1704,173880,47043,9684,951,213,3363,219
149,1,"Gainesville, FL",10520,135800,51,"Gainesville, FL",206858,30,54938,30126,43833,50324,39783,14870,58017,14516,122074,42809,20596,611,145,5457,650
151,1,"Gainesville, GA",570,83700,4,"Gainesville, GA",136696,33,70122,20371,18499,10704,37984,35730,33727,2282,75132,10695,46545,186,10,1731,115
