,istech,area_title,tot_emp,sum_area_occupations,jobs_1000,area_name,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
358,1,"Salt Lake City, UT",92400,717780,329,"Salt Lake City, UT",280781,31,72574,28319,65166,46999,58684,29660,80231,13025,193508,5812,54572,2611,4194,6415,644
360,1,"San Angelo, TX",2780,45670,25,"San Angelo, TX",112591,31,55805,9695,18945,8348,32634,17370,35302,1276,60044,4606,44763,187,45,1538,132
362,1,"Santa Fe, NM",5070,57600,44,"Santa Fe, NM",114102,47,85214,10869,24455,23211,25051,13817,27528,1654,47811,840,60352,1683,82,1485,195
364,1,"Santa Rosa, CA",3230,180640,11,"Santa Rosa, CA",283706,41,95772,20747,59747,36645,52981,35332,99180,15181,171362,5178,78071,1776,1281,10508,349
366,1,"Savannah, GA",11210,170480,71,"Savannah, GA",157591,31,49776,30742,26546,16391,43079,22743,48781,2687,64013,78578,8782,230,150,2944,207
368,1,"Sebring, FL",1050,24460,20,"Sebring, FL",53082,56,52784,4930,6040,3627,18573,8063,16801,975,39046,4665,7208,182,13,949,44
370,1,"Sheboygan, WI",3160,57670,41,"Sheboygan, WI",76522,42,78986,4569,12460,5428,28150,6433,24084,5987,61649,1254,6054,125,6,1426,21
372,1,"Sioux Falls, SD",9950,153530,53,"Sioux Falls, SD",189200,29,65101,14180,43650,20272,48642,14744,61925,4004,157980,9084,8722,4209,43,4921,237
374,1,"Spartanburg, SC",8350,154950,63,"Spartanburg, SC",132758,37,64471,19379,21422,13784,37846,20450,39238,3422,76719,40246,10012,194,26,2042,97
376,1,"Springfield, IL",8470,98250,75,"Springfield, IL",113307,39,87602,16694,23640,13517,32041,10071,33986,2181,87138,17931,2454,62,56,2971,514
378,1,"Springfield, MO",13920,204670,44,"Springfield, MO",318851,37,67427,38761,61721,35728,90220,27126,104103,5471,282796,9383,11092,1319,228,8336,226
380,1,"Springfield, OH",1720,44430,16,"Springfield, OH",104810,38,60766,14014,11383,7919,39212,13761,32465,759,86546,10915,2103,160,93,4157,77
382,1,"St. Cloud, MN",6280,99590,75,"St. Cloud, MN",83942,33,67900,8226,17477,7801,20902,6317,31392,2170,71993,5297,2583,351,24,1483,41
384,1,"St. George, UT",5350,68550,44,"St. George, UT",121710,36,79664,12505,22689,13911,26713,8840,49625,862,102069,870,13096,1112,1174,2341,186
386,1,"State College, PA",5470,56420,97,"State College, PA",56167,22,33833,3022,19948,17005,9018,1555,8636,5601,45102,2158,2162,84,39,991,30
388,1,"Sumter, SC",1750,35380,18,"Sumter, SC",95942,32,52018,15094,12065,7500,28826,14959,32569,1224,44806,43463,3914,275,23,2150,87
390,1,"Syracuse, NY",6180,269190,33,"Syracuse, NY",190137,35,62481,40798,32448,28291,47443,28936,52937,11657,111422,42516,14806,1383,42,7568,743
392,1,"Tallahassee, FL",17590,169680,62,"Tallahassee, FL",285855,34,73192,34963,70117,53436,55099,22573,84543,9556,163426,87888,17506,625,67,6181,606
394,1,"Terre Haute, IN",3290,62940,35,"Terre Haute, IN",95017,33,43915,13629,15117,8804,28471,11560,30994,1995,80336,6505,2504,203,44,3362,68
396,1,"The Villages, FL",1410,28770,17,"The Villages, FL",84299,60,63637,3753,17334,11137,25106,4781,25878,905,77293,1383,3552,378,31,716,41
398,1,"Toledo, OH",14830,274380,39,"Toledo, OH",381267,36,55410,68271,55810,34875,115964,47547,127056,6251,255071,78742,27794,902,97,11655,755
400,1,"Topeka, KS",8860,105010,53,"Topeka, KS",167652,39,60933,16646,31708,18319,51446,14793,50705,2100,123282,13549,20670,947,65,6844,195
402,1,"Trenton, NJ",11610,215070,86,"Trenton, NJ",135321,36,60095,22270,16243,8189,47751,28034,35133,3725,39261,50951,39113,90,46,1741,394
404,1,"Tucson, AZ",33150,365540,21,"Tucson, AZ",1615670,36,66060,242542,274076,198308,370716,219158,553500,45070,799690,59282,641616,26444,2220,39224,2124
406,1,"Tulsa, OK",32930,427850,51,"Tulsa, OK",643000,34,71186,77559,133019,62809,167570,71623,207878,19470,398503,67462,79884,28566,558,47410,1147
408,1,"Tuscaloosa, AL",5330,100160,10,"Tuscaloosa, AL",517371,34,67457,69849,97386,65961,148326,60579,145011,9258,303618,179226,18942,669,201,5157,300
410,1,"Twin Falls, ID",2370,45920,38,"Twin Falls, ID",63002,33,65339,7093,8127,4423,18010,6640,25797,1266,50347,518,9589,536,53,691,2
412,1,"Tyler, TX",5550,97400,31,"Tyler, TX",177355,34,67827,22922,30124,14416,41007,29471,62248,3202,98453,34023,38660,516,231,2098,172
414,1,"Urban Honolulu, HI",35090,390310,107,"Urban Honolulu, HI",329094,39,79970,25041,78313,46803,78751,37658,87457,179578,51378,3426,21031,247,25833,47302,299
416,1,"Valdosta, GA",340,48930,4,"Valdosta, GA",95423,27,43901,18806,13771,9518,28201,15338,28515,1931,47256,38826,5272,123,27,1828,160
418,1,"Victoria, TX",1910,36290,22,"Victoria, TX",88374,38,81319,10064,11816,5649,27437,14790,28659,971,41203,5055,39719,76,0,1179,171
420,1,"Waco, TX",7190,114930,45,"Waco, TX",160671,33,60929,24621,21620,12176,45716,28482,52581,2709,81490,26298,47425,177,27,2351,194
422,1,"Walla Walla, WA",1090,21890,112,"Walla Walla, WA",9770,37,56733,801,2178,1152,1270,977,4191,96,7527,71,1656,58,18,298,46
424,1,"Warner Robins, GA",4890,72660,35,"Warner Robins, GA",141031,33,70925,21101,21322,14413,39706,14806,50859,4500,75963,46059,10502,361,0,3245,401
426,1,"Waterbury, CT",550,59170,3,"Waterbury, CT",157666,38,59582,25653,18394,12514,56001,27062,43725,4045,80795,22078,45056,34,41,4708,909
428,1,"Wausau, WI",4110,68500,1408,"Wausau, WI",2919,53,51075,306,376,87,1278,338,834,4,2856,3,4,15,0,37,0
430,1,"Wenatchee, WA",2170,45050,30,"Wenatchee, WA",73030,36,73773,6648,10812,6898,19712,12024,23622,566,49027,271,20740,666,68,1647,45
432,1,"Wichita Falls, TX",2350,48260,23,"Wichita Falls, TX",102977,32,61861,15895,18605,8413,28923,12012,34992,2464,66384,10376,20257,509,48,2583,356
434,1,"Wichita, KS",18740,288220,41,"Wichita, KS",462336,35,80903,56218,91338,48880,120697,53521,147822,21682,306033,44582,70410,2859,123,16183,464
436,1,"Williamsport, PA",2360,47080,54,"Williamsport, PA",43927,36,57634,6676,6632,3953,16472,4656,12211,372,36283,4564,1362,72,0,1068,206
438,1,"Wilmington, NC",8800,126640,43,"Wilmington, NC",203209,38,73390,24661,52916,26429,44028,15960,63855,2824,155339,28915,11206,563,151,3894,317
440,1,"Winston-Salem, NC",16300,257170,50,"Winston-Salem, NC",329113,36,62399,45209,67318,37479,84864,37954,101423,6948,193899,82010,38918,508,165,5574,1091
442,1,"Yakima, WA",3570,90240,24,"Yakima, WA",145988,35,66839,19693,16594,10781,40498,31723,46357,1392,84786,1349,53274,1791,109,3207,80
444,1,"Yuba City, CA",2270,41230,29,"Yuba City, CA",77671,36,71409,11213,9668,4388,19203,16067,28376,13478,35947,1668,22226,459,324,3406,163
446,1,"Yuma, AZ",3300,60640,8,"Yuma, AZ",437889,31,57210,76140,40521,24318,113469,117537,142179,6261,137175,10539,271845,4950,231,6663,225
