,area_title,area_name,zipcode,state,city,population,median_age,race_asian,race_white,race_black,race_native,race_islander,race_other,race_two,race_hispanic,average_household_income,family_households_total,family_poverty_pct,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,family_poverty
37,"Albuquerque, NM",ALBUQUERQUE,87104,New Mexico,Albuquerque,12923,41,51,4156,149,263,0,0,109,8195,71446,3183,20.4,2881,2390,2907,1369,3372,2636
38,"Albuquerque, NM",ALBUQUERQUE,87105,New Mexico,Albuquerque; South Valley,58469,37,268,8295,815,2184,14,51,221,46621,50636,13186,21.9,4443,2806,20581,14207,16429,12804
39,"Albuquerque, NM",ALBUQUERQUE,87106,New Mexico,Albuquerque,24988,31,1012,12444,1035,941,11,173,635,8737,60722,4453,17.1,5622,7146,3673,2498,6047,4272
40,"Albuquerque, NM",ALBUQUERQUE,87107,New Mexico,Albuquerque; Los Ranchos de Al,30719,42,158,12201,377,664,0,157,587,16575,69930,7203,14.2,5191,5529,7433,3778,8816,4362
41,"Albuquerque, NM",ALBUQUERQUE,87108,New Mexico,Albuquerque,37630,36,746,12426,1264,3166,23,97,606,19302,42013,7276,30.6,5493,4365,9256,7036,11514,11514
42,"Albuquerque, NM",ALBUQUERQUE,87109,New Mexico,Albuquerque,39332,38,1010,20500,1580,1684,1,225,783,13549,65306,9221,13.9,8259,6214,8220,2517,14120,5467
43,"Albuquerque, NM",ALBUQUERQUE,87110,New Mexico,Albuquerque,38299,42,1168,19357,1105,1085,106,95,804,14579,63901,9124,9.5,7966,7161,8387,2259,12523,3638
44,"Albuquerque, NM",ALBUQUERQUE,87111,New Mexico,Albuquerque,57331,43,1853,36179,895,2275,15,159,1210,14745,91798,15334,7.9,13874,14562,9574,2407,16969,4529
45,"Albuquerque, NM",ALBUQUERQUE,87112,New Mexico,Albuquerque,43197,40,1168,22888,1643,1737,14,54,1114,14579,63844,10510,11.9,8250,6220,9719,3369,15680,5140
46,"Albuquerque, NM",ALBUQUERQUE,87113,New Mexico,Albuquerque; Edith Endave; Nor,15509,36,1041,6230,150,434,51,76,432,7095,94120,3930,9.4,4016,2822,3101,1116,4435,1457
47,"Albuquerque, NM",ALBUQUERQUE,87116,New Mexico,Albuquerque,3836,24,129,2546,305,6,0,77,291,482,73678,907,2.1,1154,494,621,46,1515,80
48,"Albuquerque, NM",ALBUQUERQUE,87117,New Mexico,Albuquerque,345,21,20,264,33,0,0,0,10,18,-1,0,0.0,50,0,0,0,294,0
49,"Albuquerque, NM",ALBUQUERQUE,87120,New Mexico,Albuquerque,62110,36,1280,23120,1536,2449,43,136,1233,32313,83183,15716,8.1,12670,8446,14098,3602,23353,5030
50,"Albuquerque, NM",ALBUQUERQUE,87121,New Mexico,Rio Rancho; Albuquerque; Pajar,78122,29,404,8584,2051,2082,47,304,543,64107,50672,17399,19.1,6718,2265,24608,19764,24764,14921
51,"Albuquerque, NM",ALBUQUERQUE,87122,New Mexico,Albuquerque; Sandia Heights,17999,48,1427,12724,330,136,0,41,427,2914,143118,5480,1.8,5651,6713,1601,269,3761,323
52,"Albuquerque, NM",ALBUQUERQUE,87123,New Mexico,Albuquerque; Carnuel,44084,37,1732,18327,1567,1845,0,195,961,19457,65925,10412,14.4,7538,6392,10800,5510,13842,6348
53,"Albuquerque, NM",ALBUQUERQUE,87124,New Mexico,Albuquerque; Corrales; Rio Ran,54253,39,800,27443,1151,971,28,100,1626,22134,70305,13642,9.3,9168,6022,13943,4394,20670,5045
54,"Alexandria, LA",ALEXANDRIA,71301,Louisiana,Alexandria,23297,37,820,8565,12894,93,0,0,235,690,56038,5155,23.5,3075,1700,7967,4542,6010,5474
55,"Alexandria, LA",ALEXANDRIA,71302,Louisiana,Alexandria,14146,41,0,2172,11547,87,0,14,202,124,48398,3489,20.0,1258,594,5856,2843,3607,2829
56,"Alexandria, LA",ALEXANDRIA,71303,Louisiana,Alexandria,21741,38,1036,13146,6342,26,7,17,487,680,69241,5133,12.2,3435,3021,7196,1674,6413,2652
57,"Alexandria, LA",ALEXANDRIA,71409,Louisiana,Alexandria; Boyce,5598,44,6,3945,1454,20,0,0,80,93,60203,1425,14.1,632,240,2552,750,1416,789
58,"Altoona, PA",ALTOONA,16601,Pennsylvania,Logan; Altoona; Antis; Tyrone;,32764,40,90,30578,809,0,7,4,852,424,55202,8483,14.4,3931,1736,15825,3178,8125,4718
59,"Altoona, PA",ALTOONA,16602,Pennsylvania,Altoona; Logan; Antis; Alleghe,28998,41,100,27162,677,0,0,15,534,510,55535,7516,16.0,4001,1971,13049,3392,6611,4639
60,"Amarillo, TX",AMARILLO,79101,Texas,Amarillo,2185,48,0,1575,146,21,0,0,183,260,45806,405,11.9,270,142,723,316,731,260
