,city,state,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
105,Pocatello,Idaho,1171,20,13914,966,173,221,0,83,693,78,775,64,151,4,0,99,0
106,Port St. Lucie,Florida,116572,44,73614,11149,17048,8408,35806,15349,40012,2944,64344,21803,24616,158,0,2622,85
107,Prescott,Arizona,44744,52,30254,4162,8530,7130,7944,3006,18124,798,38446,168,3832,356,0,1144,0
108,Pueblo,Colorado,77166,37,49025,14374,9084,5697,22751,10793,28802,529,33700,1543,39439,430,104,1312,109
109,Raleigh,North Carolina,235986,36,100650,16120,84711,48049,31255,14778,57266,8105,152633,47210,22265,610,156,4480,527
110,Redding,California,33697,38,66258,4178,4953,2358,8289,2999,15096,1816,25237,537,3624,734,0,1726,23
111,Reno,Nevada,105114,42,91939,6711,26026,18135,18553,7314,35037,6272,78539,1875,13413,713,819,3347,136
112,Richmond,Virginia,92967,30,67778,18928,22737,13979,21262,13014,21890,2665,39741,39533,7813,150,26,2769,270
113,Roanoke,Virginia,33030,35,72651,7452,3324,2053,11995,6268,9414,509,11268,18649,1210,73,171,1068,82
114,Rochester,Minnesota,124260,37,100515,7467,30898,25270,24059,7139,36885,8587,96886,8263,6692,225,20,3399,188
115,Rochester,New York,92786,29,39612,28878,13587,7795,25759,18059,27564,3354,29778,43424,13011,194,11,2770,244
116,Rockford,Illinois,57991,33,44036,16152,3737,1871,20482,14354,17557,1467,22942,18317,13658,48,5,1504,50
117,Rocky Mount,North Carolina,20279,38,41707,5962,1358,851,7868,4096,6083,13,4527,15061,190,9,28,423,28
118,Rome,Georgia,1876,20,87422,0,1016,808,0,26,26,21,1545,221,67,0,0,22,0
119,Saginaw,Michigan,43992,42,46401,8026,5418,3271,14075,5863,15401,502,26587,8994,6132,196,12,1502,67
120,Salem,Oregon,38493,40,76672,3117,9199,5773,7621,2232,13665,1031,31221,450,4162,186,252,1122,69
121,Salinas,California,88875,31,65783,16274,6724,2821,18550,43523,17252,2764,12007,505,72769,58,16,727,29
122,Salt Lake City,Utah,80851,30,63585,7537,24727,20535,10981,4055,20509,4056,64180,1444,7543,1058,211,2035,324
123,San Angelo,Texas,82712,30,52120,7544,14882,6018,23163,12889,25771,902,42702,3719,34142,140,45,975,87
124,Santa Rosa,California,60223,40,93016,4565,11350,6667,11976,7177,23066,2659,35825,887,18098,330,374,1967,83
125,Savannah,Georgia,20172,27,54609,5648,5022,3308,4054,2319,5446,591,9757,8277,1159,0,0,309,79
126,Sebring,Florida,31130,58,55038,2208,4197,2442,10561,3410,10523,741,25349,1324,3129,0,0,567,20
127,Sioux Falls,South Dakota,114076,25,48893,8242,25680,11833,30848,8388,37375,2284,94803,5310,6145,1833,41,3449,211
128,Spartanburg,South Carolina,16612,43,92713,1279,4169,3388,3471,1611,3953,719,12327,3024,382,51,13,83,13
129,Springfield,Illinois,18199,41,91064,596,5785,3919,3335,641,4514,1006,15802,682,344,12,11,316,26
130,Springfield,Missouri,61548,36,74161,7613,14115,10247,13836,4094,19259,1677,54554,2040,1697,293,118,1140,29
131,Springfield,Ohio,51464,37,54660,9770,5137,3202,19630,8316,15152,274,38740,8330,1365,126,71,2496,62
132,Sumter,South Carolina,1667,22,37966,165,175,208,91,131,1060,44,1090,189,129,0,0,215,0
133,Syracuse,New York,23233,30,44751,8573,3361,2730,6100,5485,5536,1828,10680,6690,2318,208,0,1438,71
134,Tallahassee,Florida,265136,34,75746,31462,67238,52090,48283,19507,77955,9521,155464,76577,16720,468,54,5751,581
135,Terre Haute,Indiana,26389,28,25005,6429,3095,1161,8548,4786,8792,443,21054,2571,956,22,0,1325,18
136,The Villages,Florida,25173,63,54288,1988,3524,1611,9842,2743,7451,455,20979,753,2297,378,0,270,41
137,Toledo,Ohio,158077,34,41428,39546,14883,7833,54462,26724,54184,1881,86014,49387,14731,393,31,5299,341
138,Topeka,Kansas,154367,38,56677,16206,28993,17064,46730,14083,46821,1902,111665,13337,19654,930,63,6635,181
139,Trenton,New Jersey,946,40,32609,264,27,16,398,137,367,1,96,633,215,0,0,1,0
140,Tucson,Arizona,525318,30,44776,96916,78312,52750,129474,84800,179892,15876,236882,22752,227408,7950,658,13128,664
141,Tulsa,Oklahoma,243521,35,66567,41722,45249,23880,63791,35476,75074,6010,132177,37039,40412,9774,347,17311,451
142,Tuscaloosa,Alabama,16119,40,61780,1389,1197,417,6738,2661,5094,0,13500,2094,339,27,0,87,72
143,Tyler,Texas,85875,34,57269,16541,9781,4524,23049,20577,27880,942,32784,22793,28237,285,12,720,102
144,Urban Honolulu,Hawaii,259175,40,75665,22916,58212,33504,64193,33351,69828,141478,38576,3055,17431,163,22755,35479,238
145,Valdosta,Georgia,742,19,-1,0,0,0,0,0,742,7,306,356,25,0,12,36,0
146,Victoria,Texas,70994,35,78681,9198,9670,4694,21684,12654,22288,967,28959,4538,35257,76,0,1034,163
147,Waco,Texas,27586,26,31517,7725,1934,1167,8500,6997,8997,212,6599,10350,10002,57,8,351,7
148,Warner Robins,Georgia,69518,34,78530,8823,12093,8289,18334,4897,25951,2684,40749,18197,5440,147,0,1941,360
149,Waterbury,Connecticut,80603,37,43669,18030,6584,3652,29117,18980,22290,2386,26320,15617,33398,12,41,2413,416
150,Wichita,Kansas,191734,34,75391,28568,34328,15821,52966,26056,62473,5126,124831,17902,35486,1185,36,7065,103
151,Wichita Falls,Texas,65896,31,56167,13248,9631,4039,19443,9759,22998,963,37908,8448,16154,403,26,1680,314
152,Winston-Salem,North Carolina,33082,27,34263,1864,9344,7149,4379,1215,10993,1351,22926,5736,2099,57,0,846,67
153,Yakima,Washington,46258,32,52787,7262,4255,3145,12720,12443,13692,285,20719,340,23274,494,10,1095,41
154,Yuba City,California,40959,33,60353,6881,4382,1966,11017,9092,14499,3892,19336,874,14832,258,195,1504,68
